DateTime,AddedIPs,RemovedIPs
1555040664,90,106
1555042599,90,119
1555044500,125,121
1555046425,98,112
1555048356,88,129
1555050289,93,134
1555052201,88,153
1555054093,77,111
1555056052,99,125
1555057967,131,150
1555059883,97,118
1555061777,81,139
1555063735,93,182
1555065628,231,304
1555067551,150,185
1555069486,136,209
1555071378,100,146
1555073298,96,132
1555075236,104,179
1555077154,81,168
1555079060,99,191
1555080985,223,188
1555082914,137,197
1555084878,161,201
1555086777,155,259
1555088905,285,234
1555090830,214,228
1555092769,149,250
1555094676,256,316
1555096581,225,381
1555098515,200,423
1555100438,157,440
1555102346,292,177
1555104265,152,193
1555106189,196,85
1555108029,214,77
1555110085,260,82
1555111967,147,80
1555113877,155,208
1555115798,130,1163
1555117703,199,119
1555119760,152,106
1555121771,112,85
1555123719,184,98
1555125631,129,116
1555127548,117,101
1555129471,115,97
1555131373,135,131
1555133287,126,95
1555136178,188,140
1555138108,122,77
1555140034,111,102
1555141938,125,148
1555143850,145,114
1555145794,1648,118
1555147695,116,82
1555149640,103,89
1555151552,94,195
1555153467,118,151
1555155371,423,140
1555157565,225,119
1555159452,127,95
1555161379,115,116
1555163303,104,81
1555165230,110,94
1555167147,105,158
1555169053,216,111
1555170988,199,108
1555172896,164,119
1555174837,390,135
1555176769,140,172
1555178677,116,105
1555180571,117,120
1555182512,210,167
1555184439,185,116
1555186333,226,100
1555188251,172,129
1555190213,133,122
1555192089,328,109
1555194026,109,116
1555195955,118,111
1555197850,81,98
1555199766,87,110
1555201688,102,85
1555203658,90,103
1555205543,92,125
1555207719,120,104
1555209611,88,117
1555211537,125,108
1555213482,182,86
1555215370,110,83
1555217298,164,91
1555219226,95,102
1555221149,89,111
1555223061,92,103
1555224987,113,90
1555227010,97,114
1555228844,73,100
1555230763,96,71
1555232675,96,211
1555234575,331,120
1555236519,86,1707
1555238430,90,107
1555240350,158,104
1555242267,165,412
1555244170,2039,207
1555246096,4133,121
1555248026,2709,107
1555249935,1152,84
