DateTime,Entries,UniqueIPs
1555038759,1046,1046
1555040665,1042,1042
1555042599,1048,1048
1555044501,1052,1052
1555046426,1054,1054
1555048357,1053,1053
1555050289,1058,1058
1555052201,1057,1057
1555054093,1052,1052
1555056991,1053,1053
1555058894,1071,1071
1555060836,1070,1070
1555062734,1068,1068
1555064654,1020,1020
1555066599,989,989
1555068489,992,992
1555070443,982,982
1555072345,980,980
1555074278,973,973
1555076170,967,967
1555078101,951,951
1555080032,948,948
1555081934,951,951
1555083855,956,956
1555085789,947,947
1555087719,947,947
1555089607,948,948
1555091533,947,947
1555093462,936,936
1555095385,940,940
1555097286,916,916
1555099235,897,897
1555101152,885,885
1555103319,906,906
1555105399,909,909
1555108030,940,940
1555110100,950,950
1555111968,962,962
1555113890,970,970
1555115799,957,957
1555117703,963,963
1555119760,970,970
1555121771,971,971
1555123719,991,991
1555125631,993,993
1555127549,995,995
1555129471,989,989
1555131374,998,998
1555133287,1002,1002
1555135232,1006,1006
1555137037,1006,1006
1555138845,1012,1012
1555140766,1018,1018
1555142668,1029,1029
1555144576,1007,1007
1555146525,1042,1042
1555148420,1039,1039
1555150340,1044,1044
1555152272,1042,1042
1555154186,1034,1034
1555156091,1060,1060
1555158025,1065,1065
1555159939,1064,1064
1555161875,1060,1060
1555163788,1063,1063
1555165864,1067,1067
1555167869,1064,1064
1555169767,1070,1070
1555171709,1077,1077
1555173625,1093,1093
1555175532,1182,1182
1555177468,1182,1182
1555179377,1183,1183
1555181287,1183,1183
1555183227,1188,1188
1555185154,1188,1188
1555187061,1239,1239
1555188966,1244,1244
1555191022,1301,1301
1555192839,1296,1296
1555194734,1278,1278
1555196680,1287,1287
1555198570,1285,1285
1555200397,1289,1289
1555202199,1291,1291
1555204105,1296,1296
1555206012,1291,1291
1555207945,1289,1289
1555209873,1289,1289
1555211779,1305,1305
1555213700,1350,1350
1555215634,1356,1356
1555217530,1365,1365
1555219464,1367,1367
1555221369,1368,1368
1555223291,1373,1373
1555226173,1377,1377
1555228100,1365,1365
1555230031,1364,1364
1555231992,1332,1332
1555233859,1488,1488
1555235789,1487,1487
1555237688,1446,1446
1555239638,1451,1451
1555241556,1438,1438
1555243471,1572,1572
1555245380,1814,1814
1555247322,2037,2037
1555249210,2318,2318
1555251141,2324,2324
1555253068,2319,2319
1555254970,2318,2318
1555256897,2315,2315
1555258809,2337,2337
1555260749,2318,2318
1555262660,2369,2369
1555264588,2509,2509
1555266491,2624,2624
1555268447,2770,2770
1555270355,2842,2842
1555272264,2954,2954
1555274185,2962,2962
1555276120,2989,2989
1555278013,2976,2976
1555279932,2997,2997
1555281869,3032,3032
1555283780,3046,3046
1555285708,3113,3113
1555287628,3615,3615
1555289536,4243,4243
1555291492,4477,4477
1555293375,4846,4846
1555295290,5211,5211
1555297267,5455,5455
1555299160,5756,5756
1555301077,6164,6164
1555302980,6470,6470
1555304932,6792,6792
1555306813,7158,7158
1555308761,7447,7447
1555310653,7450,7450
1555312583,7450,7450
1555314493,7457,7457
1555316429,7458,7458
1555318338,7464,7464
1555320250,7349,7349
1555322070,7345,7345
1555323873,7338,7338
1555325790,7334,7334
1555327713,7328,7328
1555329636,7234,7234
1555331562,6998,6998
1555333469,6782,6782
1555335392,6492,6492
1555337321,6490,6490
1555339231,6489,6489
1555341401,6545,6545
1555343292,6545,6545
1555345235,6547,6547
1555347134,6548,6548
1555349051,6514,6514
1555350995,6435,6435
1555352903,6384,6384
1555354847,6596,6596
1555356735,6560,6560
1555358680,6506,6506
1555360578,6466,6466
1555362491,6437,6437
1555364675,6411,6411
1555366577,6391,6391
1555369310,6356,6356
1555371147,6330,6330
1555373082,6007,6007
1555374978,5390,5390
1555376913,4932,4932
1555378832,4547,4547
1555380764,4228,4228
1555382671,3780,3780
1555384586,3523,3523
1555386488,3003,3003
1555388425,2691,2691
1555390356,2382,2382
1555392256,2032,2032
1555394208,1602,1602
1555396096,1495,1495
1555398033,1496,1496
1555399948,1496,1496
1555402114,1502,1502
1555404013,1493,1493
1555405956,1495,1495
1555407861,1502,1502
1555409803,1501,1501
