DateTime,Entries,UniqueIPs
1554733248,69,69
1554735162,70,70
1554737067,72,72
1554738992,73,73
1554741162,72,72
1554744987,73,73
1554746927,72,72
1554748814,71,71
1554750750,74,74
1554752675,73,73
1554754580,71,71
1554756503,72,72
1554758466,71,71
1554760355,69,69
1554764571,68,68
1554766572,67,67
1554768520,70,70
1554770429,70,70
1554772334,69,69
1554774286,66,66
1554776189,63,63
1554778096,59,59
1554780015,59,59
1554781953,56,56
1554783880,48,48
1554785777,48,48
1554787752,46,46
1554789662,45,45
1554791562,43,43
1554795373,43,43
1554797319,46,46
1554799223,47,47
1554801137,47,47
1554803081,48,48
1554804997,48,48
1554806894,50,50
1554808850,50,50
1554810741,52,52
1554812658,53,53
1554814582,51,51
1554816523,49,49
1554819385,51,51
1554821316,51,51
1554823235,50,50
1554825144,49,49
1554827056,50,50
1554830905,48,48
1554832892,49,49
1554834773,48,48
1554836679,44,44
1554839076,42,42
1554840978,44,44
1554842905,42,42
1554846733,43,43
1554851806,43,43
1554853699,44,44
1554855641,42,42
1554859468,45,45
1554865261,48,48
1554867168,49,49
1554869072,50,50
1554870972,50,50
1554872927,51,51
1554874946,51,51
1554876983,52,52
1554879142,52,52
1554881056,51,51
1554883006,50,50
1554884908,48,48
1554887778,47,47
1554889706,46,46
1554891631,45,45
1554893540,42,42
1554895465,42,42
1554897395,40,40
1554899312,39,39
1554904327,38,38
1554906261,38,38
1554910055,37,37
1554912058,37,37
1554913951,36,36
1554918011,35,35
1554920186,34,34
1554922091,35,35
1554924253,38,38
1554926454,41,41
1554928578,41,41
1554932414,42,42
1554934357,41,41
1554936249,42,42
1554938173,41,41
1554940118,39,39
1554943946,42,42
1554945858,40,40
1554949690,41,41
1554951662,38,38
1554953540,37,37
1554955699,37,37
1554957619,37,37
1554959543,35,35
1554961467,35,35
1554963371,35,35
1554965315,34,34
1554967238,36,36
1554972967,37,37
1554974909,36,36
1554976867,37,37
1554978736,37,37
1554980921,36,36
1554982814,39,39
1554984744,40,40
1554986653,40,40
1554990494,39,39
1554992354,38,38
1554996541,41,41
1554998486,41,41
1555000362,42,42
1555002274,44,44
1555004180,45,45
1555006116,46,46
1555009966,46,46
1555011854,40,40
1555013790,41,41
1555015722,40,40
1555017628,41,41
1555019530,43,43
1555023418,42,42
