DateTime,AddedIPs,RemovedIPs
1554068897,0,7
1554070814,0,5
1554074006,4,5
1554075870,0,3
1554077796,1,5
1554083573,4,0
1554085457,1,3
1554099138,0,5
1554101086,0,8
1554114750,0,1
1554118581,1,0
1554122430,21,0
1554124357,9,1
1554126269,2,0
1554130094,0,1
1554137769,0,11
1554139701,0,78
1554141677,0,30
1554150021,0,1
1554155776,1,0
1554159718,0,4
1554163705,0,1
1554169453,0,4
1554171389,0,1
1554175233,5,0
1554177169,8,0
1554179085,1,0
1554180976,14,0
1554182895,2,0
1554184951,5,0
1554187000,1,0
1554188926,1,0
1554194682,2,0
1554196588,1,0
1554200441,14,0
1554202339,83,0
1554204258,26,1
1554206205,2,0
1554208123,3,15
1554210089,1,10
1554211966,98,7
1554213904,94,0
1554215777,99,0
1554217727,60,0
1554222756,2,0
1554228514,2,0
1554234283,1,0
1554241954,0,1
1554253001,1,0
1554254907,1,0
1554260687,0,2
1554262624,0,7
1554264496,1,5
1554266443,0,11
1554268337,0,3
1554270271,0,2
1554272206,0,6
1554274099,0,1
1554282176,121,3
1554284173,53,0
1554286099,0,9
1554288043,0,47
1554289935,2,67
1554291863,0,2
1554293790,0,3
1554297623,0,57
1554299582,0,104
1554301463,1,91
1554303415,0,100
1554308195,0,1
1554310107,0,1
1554312040,1,0
1554313952,0,1
1554315883,0,1
1554319711,1,0
1554321712,0,1
1554336983,1,0
1554338899,0,1
1554340848,4,0
1554342738,106,1
1554344664,21,0
1554350544,0,1
1554354528,1,0
1554362179,48,0
1554364111,107,0
1554366050,71,0
1554367988,73,94
1554369873,67,79
1554371797,103,0
1554373711,85,0
1554375750,100,0
1554377564,80,1
1554379577,95,0
1554381419,89,0
1554383331,68,0
1554385233,63,0
1554387159,73,0
1554389081,68,1
1554390995,1,0
1554398685,0,1
1554402801,4,0
1554404671,0,1
1554414268,1,0
1554416216,1,0
1554424101,0,1
1554426150,1,0
1554428188,0,26
1554430109,1,106
1554441882,0,1
1554447774,0,8
1554449576,2,93
1554451506,2,93
1554453422,0,71
1554455300,0,60
1554457221,0,91
1554459186,0,92
1554461078,0,97
1554462983,2,84
1554464908,1,97
1554466850,0,87
1554468762,2,89
1554470687,1,47
1554472579,1,80
1554474757,0,83
1554476572,0,19
1554478601,0,1
1554486991,1,0
1554488911,0,4
1554494911,1,0
1554496824,1,0
1554500673,0,1
1554502613,0,1
1554508578,1,0
1554513395,0,1
1554517460,0,1
1554519378,1,0
1554521322,1,0
1554534994,0,1
1554536896,0,3
1554548490,0,1
1554550338,0,1
1554552286,0,1
1554554182,0,1
1554556139,0,2
1554558035,0,1
1554573373,0,1
1554577279,28,0
1554579136,106,0
1554581081,0,1
1554582996,4,1
1554594497,0,1
1554606144,0,2
1554609897,1,0
1554611777,1,0
1554613694,1,0
1554623302,1,0
1554632916,3,0
1554634883,7,0
1554636738,1,0
1554638921,1,0
1554644661,1,0
1554662902,0,16
1554664830,0,81
1554666734,0,29
1554668680,0,4
1554672506,1,0
1554682113,1,0
1554695575,0,1
1554697459,0,1
1554699404,0,1
1554703299,1,0
1554709000,52,1
1554710909,127,0
1554712871,152,0
1554714750,124,0
1554716666,149,0
1554718606,128,3
1554720532,147,15
1554722439,123,0
1554724621,160,2
1554726537,129,0
1554729414,197,0
1554731342,148,1
1554733278,136,0
1554735164,142,0
1554737097,70,0
1554738994,57,0
1554741164,1,0
1554743072,1,0
1554754583,2,0
1554758468,0,1
1554768522,0,1
1554789692,0,1
1554795375,0,38
1554797321,0,117
1554799225,0,127
1554801140,0,109
1554803083,0,144
1554804999,0,117
1554806896,0,118
1554808852,0,107
1554810743,0,136
1554812660,0,120
1554814584,0,124
1554816525,0,111
1554818475,1,141
1554820345,0,249
1554822271,0,154
1554824185,2,119
1554826115,1,11
1554829935,2,1
1554837637,2,0
1554839779,0,1
1554841691,0,1
1554845558,11,0
1554847478,13,0
1554849379,1,0
1554851305,2,0
1554853239,2,0
1554855161,6,0
1554857052,7,0
1554882024,1,0
1554895960,8,0
1554897862,109,0
1554899784,16,0
1554901723,215,0
1554903614,185,1
1554909652,0,1
1554911555,1,1
1554913461,0,1
1554915394,0,2
1554923100,0,2
1554930744,1,0
1554933155,0,18
1554935118,0,4
1554936977,0,3
1554940920,0,5
1554942739,0,10
1554944699,9,0
1554946582,1,0
1554948495,1,0
1554960027,2,0
1554961929,1,0
1554967707,0,1
1554981141,0,1
1554983071,1,40
1554984973,0,88
1554986901,2,83
1554988814,0,232
1554990758,0,91
1554996543,0,1
1555017630,1,1
1555031089,0,8
1555032986,0,2
1555034927,0,1
1555046430,0,2
1555048360,0,1
1555052204,2,0
1555054096,1,0
1555069489,0,1
1555073301,0,2
1555075239,1,0
1555079064,1,0
1555084904,1,0
1555090833,1,0
1555092772,8,0
1555094679,5,0
1555096584,55,0
1555098518,4,0
1555102350,11,0
