DateTime,AddedIPs,RemovedIPs
1555044273,5,7
1555046198,2,8
1555048089,3,10
1555050015,1,6
1555051928,2,9
1555053850,5,7
1555055793,1,12
1555057687,6,12
1555059642,4,12
1555061559,0,7
1555063485,1,44
1555065368,6,183
1555067337,6,5
1555069210,4,51
1555071131,2,15
1555073059,2,3
1555074989,1,5
1555076892,2,2
1555078817,2,5
1555080745,8,3
1555082650,6,8
1555084577,5,6
1555086781,48,11
1555088909,10,12
1555090836,54,4
1555092774,3,10
1555094681,11,11
1555096586,11,10
1555098519,12,10
1555100454,10,8
1555102352,11,3
1555104275,10,3
1555106199,8,6
1555108035,100,4
1555110162,15,3
1555111972,8,3
1555113936,6,3
1555115804,1,5
1555117708,12,1
1555119766,8,2
1555121777,6,1
1555123724,9,3
1555125646,9,1
1555127568,4,3
1555129491,8,1
1555131394,7,4
1555133292,7,3
1555135354,14,3
1555137398,5,1
1555139325,12,4
1555141215,9,2
1555143136,4,2
1555145083,7,6
1555146978,13,2
1555148894,8,1
1555150848,6,3
1555152741,6,6
1555154654,270,4
1555156603,548,4
1555158499,5,2
1555160567,12,1
1555162570,3,3
1555164510,2,2
1555166423,2,4
1555168333,7,9
1555170269,6,2
1555172181,9,4
1555174091,235,47
1555176029,11,58
1555177937,4,1
1555179851,6,6
1555181787,7,10
1555183700,16,9
1555185668,10,17
1555187532,91,2
1555189482,11,15
1555191384,286,7
1555193298,18,4
1555195240,18,25
1555197136,20,14
1555199054,11,2
1555201234,11,7
1555203138,10,7
1555205101,9,8
1555206984,11,5
1555208905,11,5
1555210936,15,8
1555212765,14,7
1555214689,11,2
1555216587,89,6
1555218516,14,8
1555220437,7,6
1555222348,13,7
1555224424,10,9
1555226431,19,9
1555228333,15,8
1555230263,15,6
1555232198,17,100
1555234094,284,10
1555236975,14,10
1555238910,10,6
1555240838,9,7
1555242731,99,700
1555244659,55,5
1555246570,9,10
1555248491,13,3
1555250507,9,1
1555252358,13,3
1555254298,12,3
1555256189,6,7
1555258136,7,8
1555260037,11,2
1555261951,12,179
1555263874,15,7
1555265794,7,6
1555267706,6,8
1555269637,19,18
1555271535,12,9
1555273468,12,94
1555275391,16,11
1555277298,27,205
1555279325,11,104
1555281179,31,18
1555283119,11,17
1555285001,7,14
1555286919,9,11
1555288830,8,11
1555291061,15,11
1555292938,9,9
1555294815,16,16
1555296744,11,17
1555298664,13,14
1555300594,10,15
1555302494,10,49
1555304505,15,19
1555306358,11,10
1555308279,81,11
1555310199,16,9
1555312124,10,24
1555314031,12,14
1555315945,13,19
1555317875,12,19
1555320055,9,362
1555322076,9,11
1555323878,14,15
1555325795,12,19
1555327718,12,9
1555329708,10,147
1555331568,7,14
1555333475,13,13
1555335397,11,10
1555337326,14,11
1555339235,9,17
1555341407,15,7
1555343297,12,4
1555345243,14,7
1555347139,10,16
1555349056,7,5
1555351000,20,17
1555352908,16,5
1555354913,1472,13
1555356739,14,13
1555358685,9,10
1555360583,10,11
1555362495,12,12
1555364680,16,30
1555366581,8,9
1555369337,16,13
1555371151,16,6
1555373087,11,6
1555374982,11,9
1555376918,13,13
1555378836,12,11
1555380773,10,12
1555382675,4,9
1555384591,13,8
1555386492,14,9
1555388429,11,10
1555390364,11,45
1555392275,715,15
1555394213,7,80
1555396118,5,10
1555398127,8,13
1555399953,60,7
1555402118,11,11
1555404018,10,14
1555405960,8,8
1555407867,14,7
1555409808,11,13
1555411711,9,12
1555413634,74,10
1555415542,19,11
1555417475,10,6
1555419398,13,16
1555421301,6,10
1555423323,10,13
1555425171,9,8
1555427080,9,14
1555428998,14,11
1555430916,8,14
1555432833,9,9
1555434740,6,9
1555436664,10,15
1555438592,6,15
1555440778,11,1442
1555442660,13,40
1555444599,13,11
1555446682,13,13
1555448693,18,19
1555450854,22,22
1555452740,12,10
1555454747,6,25
1555456583,23,15
1555458520,496,17
1555460433,10,13
1555462365,15,15
1555464268,11,16
1555466190,18,10
1555468106,18,8
1555470305,13,13
1555472178,21,14
1555474360,12,13
1555476264,58,16
1555478462,19,714
1555480363,11,6
1555482276,12,11
1555484188,11,12
1555486278,13,60
1555488306,6,12
1555490187,10,14
1555492105,159,13
1555494033,282,15
1555495940,11,7
1555497885,6,9
1555499783,12,81
1555501700,10,21
1555503651,11,10
1555505581,18,13
1555507468,11,7
1555509405,17,13
1555511294,720,12
1555513342,7,11
1555515145,13,12
1555517364,19,11
1555519226,11,9
1555521145,18,4
1555523078,8,7
1555524989,8,6
1555526900,7,11
1555528851,11,10
1555530746,9,9
1555532663,7,5
1555534595,15,20
1555536506,13,15
1555538557,11,13
1555540378,10,10
1555542302,13,19
1555544198,17,10
1555546153,10,433
1555548038,14,14
1555549940,15,12
1555551885,16,9
1555553789,12,20
1555555963,25,6
1555557859,15,15
1555559782,10,9
1555561715,14,12
1555563727,10,50
1555565555,6,13
1555567507,9,8
1555569373,9,9
1555571337,12,9
1555573252,16,9
1555575144,16,6
1555577057,5,10
1555578976,8,347
1555580897,14,125
1555582830,12,12
1555584736,16,4
1555586678,14,8
1555588592,19,8
1555590535,10,12
1555592593,11,10
1555594842,13,17
1555596788,12,10
1555598682,9,756
1555600610,11,10
1555602527,17,17
1555604485,6,13
1555606344,16,12
1555608334,11,25
1555610198,10,12
1555612148,13,7
1555614147,11,13
1555615971,8,12
1555617920,17,7
1555619806,12,10
1555621954,12,24
1555623861,9,13
1555626141,19,9
1555627964,15,19
1555629857,15,14
1555631790,11,16
1555633959,12,15
1555635881,16,17
1555637806,19,18
1555639710,15,16
1555641642,9,14
1555643543,13,17
1555645467,21,11
1555647396,10,12
1555649303,13,15
1555651242,8,12
1555653136,19,11
1555655056,14,10
1555657002,14,13
1555658906,6,18
1555661044,14,17
1555662973,12,15
1555664902,10,9
1555666835,8,13
1555668738,8,16
1555670666,21,20
1555672600,15,14
1555674499,11,18
1555676449,8,18
1555678354,13,13
1555680256,10,10
1555682360,21,12
1555684349,18,14
1555686290,17,16
1555688182,17,6
1555690127,17,16
1555692033,17,11
1555693940,9,20
1555695882,16,10
1555697802,8,10
1555699719,440,11
1555701611,12,8
1555703568,673,13
1555705454,10,8
1555707376,11,11
1555709328,11,5
1555711250,12,11
1555713158,12,10
1555715099,10,9
1555716985,6,7
1555718928,13,9
1555720834,125,8
1555722755,15,13
1555724677,7,11
1555726591,8,10
1555728505,6,25
1555730440,10,11
1555732336,6,13
1555734274,6,8
1555736191,7,9
1555738097,5,7
1555740140,6,15
1555741972,8,9
1555743892,5,9
1555745782,3,4
1555747706,6,10
1555749640,8,11
1555751537,4,6
1555753470,3,7
1555755383,5,7
1555757303,15,12
1555759234,11,9
1555761141,8,10
1555763084,12,3
1555764979,7,11
1555767162,6,8
1555769308,6,15
1555771216,112,10
1555773146,520,14
1555775055,89,12
1555776998,7,13
1555778903,5,11
1555780812,13,7
1555782735,8,8
1555784694,10,288
1555786597,8,16
1555788498,4,212
1555790531,11,604
1555792365,16,13
1555794312,15,15
1555796195,85,10
1555798356,11,21
1555800827,10,16
1555802679,9,9
1555804579,7,14
1555806502,13,20
1555808505,12,197
1555810362,8,11
1555812285,10,10
1555814175,13,12
1555816104,16,16
1555818014,6,8
1555819938,11,5
1555821882,60,11
1555823771,8,10
1555825692,73,11
1555827656,15,9
1555829543,10,9
1555831452,9,6
1555833398,12,8
1555835292,80,10
1555837256,13,7
1555839157,294,6
1555841085,9,2
1555842973,11,9
1555845157,182,19
1555847057,129,8
1555849006,18,14
1555850961,4,11
1555852850,9,6
1555854780,13,5
1555856651,7,7
1555858571,14,379
1555860505,9,313
1555863377,16,16
1555865292,14,7
1555867207,10,15
1555869155,10,7
1555871053,10,13
1555872968,12,9
1555874914,6,6
1555876830,7,13
1555878731,7,12
1555880687,10,14
1555882570,263,88
1555884491,7,11
1555886436,25,10
1555888332,9,7
1555890252,9,9
1555892426,12,16
1555894332,15,12
1555896278,13,12
1555898193,12,7
1555900098,11,14
1555902096,7,18
1555903948,9,7
1555905874,11,11
1555907772,124,17
1555909719,10,10
1555911611,6,73
1555913535,10,10
1555915482,18,11
1555917374,9,7
1555919296,630,9
1555921227,8,7
1555923038,7,11
1555925057,13,308
1555926977,8,10
1555928912,15,8
1555930887,5,8
1555932990,13,181
1555934922,11,143
1555936832,10,4
1555938746,15,8
1555940671,10,14
1555942577,22,6
1555944527,13,10
1555946421,13,12
1555948329,7,11
1555950262,18,12
1555952202,17,12
1555954091,5,9
1555956993,25,14
1555958933,23,11
1555960834,23,6
1555962747,17,8
1555964666,23,9
1555966592,14,8
1555968501,28,221
1555970505,17,118
1555972339,33,13
1555974464,24,12
1555976470,21,7
1555978362,14,15
1555980269,31,15
1555982212,21,12
1555984113,21,15
1555986039,18,11
1555987941,23,6
1555989865,26,9
1555991792,18,11
1555993705,17,46
1555995752,25,11
1555997782,31,5
1555999703,20,8
1556001630,13,13
1556003531,19,18
1556005461,12,13
1556007391,14,653
1556009298,21,12
1556011240,23,12
1556013150,26,6
1556015169,16,15
