DateTime,AddedIPs,RemovedIPs
1555044274,5,4
1555046200,3,9
1555048090,3,20
1555050016,3,12
1555051931,2,16
1555053851,4,12
1555055794,4,20
1555057688,5,15
1555059686,2,4
1555061560,5,12
1555063492,0,13
1555065369,1,11
1555067339,5,11
1555069211,2,12
1555071132,2,6
1555073060,2,10
1555074991,0,7
1555076894,1,9
1555078820,5,6
1555080747,11,6
1555082651,2,14
1555084578,3,4
1555086783,2,21
1555088910,3,20
1555090838,2,6
1555092775,11,11
1555094682,8,18
1555096587,4,5
1555098521,11,11
1555100456,10,11
1555102353,9,7
1555104277,5,3
1555106202,6,4
1555108036,3,6
1555110165,10,3
1555111974,11,3
1555113937,16,5
1555115805,6,2
1555117710,16,5
1555119767,9,1
1555121779,7,4
1555123725,12,5
1555125649,2,2
1555127570,10,4
1555129494,8,2
1555131396,18,4
1555133294,5,4
1555135364,18,3
1555137399,7,1
1555139327,18,4
1555141216,9,3
1555143137,9,6
1555145084,8,2
1555146980,10,5
1555148896,11,1
1555150849,7,0
1555152743,13,3
1555154655,7,3
1555156605,3,2
1555158500,3,4
1555160569,8,0
1555162571,6,1
1555164512,4,3
1555166424,2,13
1555168335,28,1
1555170278,25,2
1555172183,16,2
1555174093,27,3
1555176031,15,1
1555177939,14,6
1555179853,15,10
1555181789,29,7
1555183703,29,3
1555185722,27,12
1555187534,27,9
1555189483,27,7
1555191399,28,5
1555193299,25,7
1555195241,14,5
1555197137,21,11
1555199056,20,12
1555201235,34,10
1555203140,26,16
1555205102,11,5
1555206985,16,13
1555208907,17,4
1555210977,27,12
1555212976,30,3
1555214909,10,13
1555216824,31,19
1555218738,22,6
1555220651,24,12
1555222573,27,7
1555224426,23,10
1555226432,17,15
1555228335,19,11
1555230265,21,5
1555232199,37,12
1555234095,27,5
1555236976,19,14
1555238911,33,13
1555240839,16,4
1555242732,23,7
1555244660,11,2
1555246571,26,8
1555248492,15,5
1555250524,23,3
1555252369,8,4
1555254300,22,22
1555256190,19,29
1555258138,30,14
1555260038,20,20
1555261952,19,20
1555263876,25,10
1555265795,16,17
1555267707,30,14
1555269638,27,42
1555271538,21,26
1555273469,18,23
1555275392,19,29
1555277299,16,24
1555279350,27,12
1555281181,33,28
1555283121,23,13
1555285002,21,21
1555286921,14,8
1555288832,34,37
1555291062,20,19
1555292940,14,11
1555294816,16,17
1555296745,36,25
1555298665,23,25
1555300596,23,17
1555302495,21,26
1555304506,30,21
1555306359,28,23
