DateTime,Entries,UniqueIPs
1555044274,394,394
1555046200,388,388
1555048090,371,371
1555050016,362,362
1555051931,348,348
1555053851,340,340
1555055794,324,324
1555057688,314,314
1555059686,312,312
1555061560,305,305
1555063492,292,292
1555065369,282,282
1555067339,276,276
1555069211,266,266
1555071132,262,262
1555073060,254,254
1555074991,247,247
1555076894,239,239
1555078820,238,238
1555080747,243,243
1555082651,231,231
1555084578,230,230
1555086783,211,211
1555088910,194,194
1555090838,190,190
1555092775,190,190
1555094682,180,180
1555096587,179,179
1555098521,179,179
1555100456,178,178
1555102353,180,180
1555104277,182,182
1555106202,184,184
1555108036,181,181
1555110165,188,188
1555111974,196,196
1555113937,207,207
1555115805,211,211
1555117710,222,222
1555119767,230,230
1555121779,233,233
1555123725,240,240
1555125649,240,240
1555127570,246,246
1555129494,252,252
1555131396,266,266
1555133294,267,267
1555135364,282,282
1555137399,288,288
1555139327,302,302
1555141216,308,308
1555143137,311,311
1555145084,317,317
1555146980,322,322
1555148896,332,332
1555150849,339,339
1555152743,349,349
1555154655,353,353
1555156605,354,354
1555158500,353,353
1555160569,361,361
1555162571,366,366
1555164512,367,367
1555166424,356,356
1555168335,383,383
1555170278,406,406
1555172183,420,420
1555174093,444,444
1555176031,458,458
1555177939,466,466
1555179853,471,471
1555181789,493,493
1555183703,519,519
1555185722,534,534
1555187534,552,552
1555189483,572,572
1555191399,595,595
1555193299,613,613
1555195241,622,622
1555197137,632,632
1555199056,640,640
1555201235,664,664
1555203140,674,674
1555205102,680,680
1555206985,683,683
1555208907,696,696
1555210977,711,711
1555212976,738,738
1555214909,735,735
1555216824,747,747
1555218738,763,763
1555220651,775,775
1555222573,795,795
1555224426,808,808
1555226432,810,810
1555228335,818,818
1555230265,834,834
1555232199,859,859
1555234095,881,881
1555236976,886,886
1555238911,906,906
1555240839,918,918
1555242732,934,934
1555244660,943,943
1555246571,961,961
1555248492,971,971
1555250524,991,991
1555252369,995,995
1555254300,995,995
1555256190,985,985
1555258138,1001,1001
1555260038,1001,1001
1555261952,1000,1000
1555263876,1015,1015
1555265795,1014,1014
1555267707,1030,1030
1555269638,1015,1015
1555271538,1010,1010
1555273469,1005,1005
1555275392,995,995
1555277299,987,987
1555279350,1002,1002
1555281181,1007,1007
1555283121,1017,1017
1555285002,1017,1017
1555286921,1023,1023
1555288832,1020,1020
1555291062,1021,1021
1555292940,1024,1024
1555294816,1023,1023
1555296745,1034,1034
1555298665,1032,1032
1555300596,1038,1038
1555302495,1033,1033
1555304506,1042,1042
1555306359,1047,1047
1555308281,1055,1055
1555310200,1040,1040
1555312126,1046,1046
1555314031,1037,1037
1555315946,1038,1038
1555317876,1034,1034
1555320058,1004,1004
1555322077,1008,1008
1555323880,1019,1019
1555325797,1005,1005
1555327720,1006,1006
1555329723,1009,1009
1555331569,1003,1003
1555333476,995,995
1555335399,1002,1002
1555337328,1000,1000
1555339238,1013,1013
1555341408,996,996
1555343299,1003,1003
1555345245,997,997
1555347141,990,990
1555349057,1001,1001
1555351002,990,990
1555352910,979,979
1555354956,969,969
1555356981,966,966
1555358896,968,968
1555360833,975,975
1555362756,978,978
1555364681,973,973
1555366583,975,975
1555369341,983,983
1555371153,989,989
1555373089,995,995
1555374983,985,985
1555376920,992,992
1555378838,1001,1001
1555380775,1005,1005
1555382677,1002,1002
1555384593,1005,1005
1555386494,992,992
1555388431,982,982
1555390365,982,982
1555392278,978,978
1555394214,965,965
1555396119,963,963
1555398136,966,966
1555399954,976,976
1555402119,969,969
1555404020,972,972
1555405961,984,984
1555407869,991,991
1555409809,994,994
1555411713,994,994
1555413636,990,990
1555415543,989,989
1555417477,991,991
1555419400,989,989
1555421302,983,983
1555423332,981,981
1555425173,977,977
1555427081,990,990
1555429000,985,985
1555430918,983,983
1555432835,992,992
1555434742,980,980
1555436667,993,993
1555438594,1004,1004
1555440781,1012,1012
1555442661,1017,1017
1555444601,1016,1016
1555446684,1023,1023
1555448694,1029,1029
1555450855,1047,1047
1555452742,1039,1039
1555454749,1033,1033
1555456585,1013,1013
1555458522,1010,1010
1555460434,1025,1025
1555462366,1025,1025
1555464269,1032,1032
1555466192,1029,1029
1555468107,1030,1030
1555470307,1037,1037
1555472179,1040,1040
1555474362,1055,1055
1555476265,1060,1060
1555478463,1056,1056
1555480365,1065,1065
1555482278,1069,1069
1555484190,1067,1067
1555486280,1057,1057
1555488309,1067,1067
1555490189,1064,1064
1555492107,1059,1059
1555494035,1052,1052
1555495942,1036,1036
1555497887,1028,1028
1555499785,1029,1029
1555501702,1040,1040
1555503653,1046,1046
1555505583,1063,1063
1555507469,1063,1063
1555509407,1059,1059
1555511295,1068,1068
1555513363,1068,1068
1555515400,1076,1076
1555517366,1080,1080
1555519227,1078,1078
1555521147,1071,1071
1555523080,1069,1069
1555524990,1066,1066
1555526902,1069,1069
1555528852,1066,1066
1555530747,1068,1068
1555532665,1077,1077
1555534597,1050,1050
1555536507,1048,1048
1555538572,1053,1053
1555540380,1055,1055
1555542304,1057,1057
1555544200,1055,1055
1555546155,1049,1049
1555548039,1056,1056
1555549942,1055,1055
1555551887,1067,1067
1555553791,1059,1059
1555555966,1059,1059
1555557861,1069,1069
1555559784,1073,1073
1555561717,1071,1071
1555563759,1070,1070
1555565778,1062,1062
1555567735,1046,1046
1555569619,1060,1060
1555571538,1087,1087
1555573613,1093,1093
1555575619,1082,1082
1555577552,1081,1081
1555579460,1091,1091
1555581402,1089,1089
1555583323,1100,1100
1555585295,1106,1106
1555587160,1094,1094
1555589087,1096,1096
1555590980,1089,1089
1555592926,1097,1097
1555594844,1090,1090
1555596789,1101,1101
1555598683,1103,1103
1555600627,1113,1113
1555602529,1106,1106
1555604494,1102,1102
1555606385,1101,1101
1555608351,1091,1091
1555610200,1091,1091
1555612150,1100,1100
1555614195,1109,1109
1555616454,1095,1095
1555618343,1076,1076
1555620252,1069,1069
1555622202,1085,1085
1555624089,1089,1089
1555626143,1066,1066
1555627967,1070,1070
1555629859,1066,1066
1555631792,1074,1074
1555633961,1067,1067
1555635884,1059,1059
1555637809,1035,1035
1555639712,1029,1029
1555641643,1019,1019
1555643544,998,998
1555645468,973,973
1555647398,964,964
1555649304,964,964
1555651244,984,984
1555653138,980,980
1555655057,968,968
1555657019,941,941
1555658907,919,919
