DateTime,AddedIPs,RemovedIPs
1554929424,1,0
1554931246,0,3
1554933160,0,1
1554935125,1,0
1554936983,0,1
1554940984,2,0
1554942994,0,1
1554944906,1,3
1554946850,1,3
1554948792,1,4
1554950670,2,0
1554952576,0,4
1554954523,1,2
1554956412,1,1
1554958333,1,4
1554968187,0,3
1554970096,2,2
1554973944,2,2
1554975874,2,0
1554977775,2,1
1554979720,0,1
1554983549,0,1
1554985461,0,1
1554987372,0,1
1554991339,1,0
1554993143,1,0
1554996551,2,2
1554998600,0,2
1555000593,2,1
1555002517,0,1
1555004416,0,2
1555008256,1,1
1555010179,1,2
1555012124,1,0
1555014013,1,0
1555015932,0,1
1555019795,2,0
1555023215,2,1
1555025076,3,0
1555026999,0,2
1555028893,2,0
1555030911,2,1
1555032746,0,1
1555034702,0,1
1555036575,2,0
1555038501,3,1
1555040415,1,1
1555044278,1,0
1555046203,1,1
1555048093,2,1
1555050019,2,0
1555051935,1,1
1555057691,2,2
1555059748,1,0
1555061563,0,2
1555063497,1,3
1555065373,0,1
1555067342,1,0
1555069214,32,1
1555071136,0,1
1555073063,1,0
1555075008,1,1
1555078824,0,1
1555080751,0,2
1555082654,1,1
1555086787,2,1
1555094686,2,2
1555096591,1,0
1555098524,0,1
1555100460,4,0
1555102357,0,1
1555106209,1,2
1555108039,0,1
1555110169,1,2
1555111977,3,2
1555113942,2,2
1555115808,1,2
1555117713,1,2
1555119771,4,0
1555123729,2,4
1555125653,1,1
1555127573,4,0
1555129497,3,0
1555133298,1,1
1555135397,1,3
1555137417,2,2
1555141221,2,1
1555143141,0,1
1555145087,2,2
1555146983,1,0
1555148900,0,1
1555152746,0,1
1555154659,2,31
1555156609,1,2
1555158503,2,1
1555160573,1,1
1555162574,2,0
1555164515,1,0
1555166428,1,0
1555168339,0,1
1555170281,0,1
1555174097,1,1
1555176036,3,1
1555177943,1,0
1555181793,2,2
1555183707,0,1
1555187779,2,2
1555189702,1,1
1555193539,1,0
1555195459,0,1
1555197420,0,2
1555199297,1,3
1555201238,1,0
1555203143,2,1
1555205105,0,1
1555206989,1,1
1555208910,3,0
1555210988,2,3
1555212979,1,2
1555214911,1,1
1555216827,3,1
1555220654,4,1
1555222577,2,0
1555224428,2,2
1555226437,2,0
1555228339,5,2
1555230268,3,0
1555232203,5,2
1555234098,2,1
1555236980,2,0
1555238913,0,1
1555240842,0,3
1555242735,70,0
1555244663,223,2
1555246575,1,0
1555248496,2,2
1555252373,0,1
1555254304,0,1
1555256209,0,2
1555258142,1,1
1555260042,1,2
1555261955,3,2
1555263879,2,1
1555267710,1,2
1555269642,2,1
1555273473,1,1
1555275396,1,1
1555277303,0,1
1555279382,2,1
1555281185,3,0
1555283124,3,0
1555285005,3,0
1555286924,1,1
1555288835,5,0
1555291066,3,1
1555292944,4,1
1555294820,3,1
1555296750,1,1
1555298669,3,0
1555300600,3,1
1555302498,9,6
1555304510,4,0
1555306364,4,3
1555308288,4,1
1555310204,4,1
1555312130,8,3
1555314035,3,3
1555315948,6,5
1555317879,1,6
1555320062,3,0
1555322079,2,5
1555323882,1,0
1555325799,1,0
1555327723,4,1
1555329743,4,248
1555331573,0,18
1555333479,3,30
1555335401,0,3
1555341411,1,0
1555345248,3,2
1555349061,3,1
1555351005,0,2
1555352912,1,0
1555354972,1,1
1555356984,1,1
1555358924,1,1
1555360835,3,3
1555362759,3,1
1555364684,2,0
1555366586,0,1
1555369347,2,7
1555371157,1,4
1555373093,3,1
1555374986,1,3
1555376925,5,3
1555378841,1,4
1555380778,2,5
1555382680,2,2
1555384598,2,2
1555386497,5,2
1555388433,1,8
1555390368,7,4
1555392280,0,3
1555394217,2,2
1555396122,0,4
1555398149,2,6
1555399957,2,6
1555402122,4,6
1555404023,3,0
1555405964,6,1
1555407872,3,4
1555409813,0,1
1555411716,1,1
1555413641,0,1
1555415547,3,4
1555417480,2,1
1555419404,1,1
1555421305,3,2
1555423342,1,0
1555425178,4,0
1555427084,0,1
1555429003,2,1
1555430921,1,0
1555432838,0,3
1555434745,2,2
1555436684,3,1
1555438598,0,1
1555440784,1,1
1555442664,2,1
1555446688,0,6
1555448697,0,2
1555450867,0,3
1555454752,1,2
1555456588,1,0
1555458525,1,2
1555460438,1,3
1555462369,2,4
1555464273,1,3
1555466196,0,1
1555468111,0,2
1555470312,0,2
1555472183,2,5
1555474365,2,2
1555476268,1,8
1555480368,1,2
1555482280,3,0
1555484193,5,2
1555486283,1,1
1555488313,5,2
1555490193,2,4
1555492111,1,7
1555494051,1,3
1555495946,4,1
1555497891,1,1
1555499790,0,1
1555501706,1,1
1555503656,0,2
1555505587,3,2
1555507472,2,2
1555509410,3,1
1555511299,1,3
1555513380,0,2
1555515404,0,1
1555517370,1,2
1555519231,0,1
1555521150,1,2
1555523083,0,2
1555526905,1,1
1555528855,0,1
1555530750,1,0
1555536511,0,1
1555540877,5,1
1555544661,0,1
1555546590,2,0
1555548510,2,2
1555550452,0,1
1555552341,3,0
1555554276,0,1
1555556182,1,0
1555558117,3,1
1555560104,2,2
1555561951,2,1
1555563788,2,0
1555565782,0,2
1555567739,2,2
1555569638,4,0
1555571541,3,1
1555573617,1,2
1555575623,0,2
1555577556,1,2
1555579464,0,1
1555581405,2,3
1555583327,1,1
1555585344,2,0
1555589143,0,1
1555590997,2,1
1555592930,0,3
1555594858,2,2
1555596803,1,3
1555598697,2,0
1555600642,0,2
1555602532,2,1
1555604498,0,5
1555606388,2,1
1555608354,0,1
1555612153,1,0
1555614253,1,1
1555616457,1,0
1555618359,1,1
1555622206,1,0
1555626147,2,2
1555627971,0,3
1555633965,1,2
1555635891,1,1
1555637811,0,2
1555639715,4,2
1555641646,3,1
1555643547,2,2
1555645472,2,2
1555647403,2,0
1555649307,0,3
1555651247,0,4
1555653140,0,1
1555655061,0,5
1555657021,3,0
1555658911,2,4
1555661076,5,0
1555662977,0,1
1555664907,2,0
1555666841,0,1
1555668743,0,1
1555670670,0,2
1555672604,2,2
1555674504,2,0
1555676453,1,2
1555680261,3,0
1555682366,3,2
1555684355,2,2
1555686296,2,1
1555690132,0,2
1555692038,0,1
1555695886,1,0
1555697837,1,3
1555699724,3,1
1555701634,2,0
1555703573,1,1
1555705458,1,0
1555707391,0,1
1555709332,0,4
1555711257,4,0
1555713163,0,1
1555715107,0,1
1555718933,3,0
1555720840,1,0
1555722759,0,2
1555724682,1,1
1555726596,5,4
1555728509,1,3
1555730445,0,1
1555732341,2,3
1555734279,2,1
1555736196,2,0
1555738103,2,0
1555740149,2,0
1555741976,1,1
1555743897,2,2
1555745787,3,3
1555747710,0,4
1555749646,1,0
1555751554,0,2
1555755388,2,0
1555757324,2,0
1555759238,1,2
1555761147,1,2
1555763088,1,1
1555764984,6,0
1555767167,0,2
1555769314,1,2
1555771221,2,2
1555773152,2,2
1555775060,1,0
1555778909,1,0
1555780818,4,0
1555782739,1,1
1555784717,2,2
1555786602,0,3
1555788502,0,3
1555790551,2,0
1555792370,0,1
1555794325,1,0
1555796200,0,1
1555798359,3,4
1555800832,2,0
1555802684,2,0
1555804583,3,1
1555806506,3,2
1555810366,1,0
