DateTime,AddedIPs,RemovedIPs
1555044279,56,57
1555046205,35,56
1555048095,39,58
1555050021,46,58
1555051945,49,41
1555053856,44,47
1555055799,45,48
1555057693,42,49
1555059754,41,50
1555061565,32,53
1555063499,38,62
1555065375,52,59
1555067344,53,60
1555069216,48,48
1555071137,48,66
1555073065,30,53
1555075010,34,74
1555076898,33,51
1555078832,47,56
1555080752,37,52
1555082656,42,61
1555084582,36,51
1555086789,39,90
1555088927,47,50
1555090851,33,85
1555092779,25,67
1555094687,37,67
1555096592,77,116
1555098525,32,107
1555100469,36,61
1555102358,48,62
1555104287,42,125
1555106212,47,21
1555108041,38,21
1555110171,37,30
1555111978,30,26
1555113944,32,184
1555115809,34,1061
1555117714,37,59
1555119772,48,41
1555121793,32,47
1555123731,43,35
1555125661,39,34
1555127575,36,38
1555129499,35,43
1555131401,22,79
1555133299,40,41
1555135419,41,43
1555137418,36,45
1555139331,33,47
1555141229,44,44
1555143143,22,56
1555145088,221,41
1555146985,1395,37
1555148901,30,33
1555150854,41,37
1555152747,32,54
1555154660,28,40
1555156617,32,47
1555158505,50,35
1555160575,50,41
1555162576,52,25
1555164516,26,39
1555166429,32,37
1555168348,38,45
1555170283,24,35
1555172196,27,31
1555174106,23,26
1555176037,39,43
1555177944,35,34
1555179858,29,34
1555181794,59,51
1555183717,36,70
1555185779,26,36
1555187782,53,58
1555189703,42,37
1555191649,32,43
1555193540,33,37
1555195461,36,41
1555197421,30,38
1555199299,28,31
1555201240,30,31
1555203144,32,40
1555205107,22,44
1555206990,34,34
1555208911,40,43
1555210989,19,43
1555212980,35,41
1555214912,38,27
1555216828,55,37
1555218741,38,30
1555220656,50,38
1555222586,30,37
1555224430,38,28
1555226439,38,39
1555228340,26,35
1555230270,35,21
1555232204,35,50
1555234100,33,41
1555236981,44,1667
1555238915,38,39
1555240844,27,23
1555242737,78,43
1555244664,2048,45
1555246576,3585,41
1555248497,3003,32
1555250580,37,25
1555252587,49,35
1555254511,34,38
1555256429,31,25
1555258340,24,32
1555260258,27,21
1555262182,127,39
1555264117,33,41
1555266043,20,24
1555267933,22,28
1555269860,36,36
1555271789,31,34
1555273698,28,44
1555276578,51,55
1555278453,31,21
1555280429,26,27
1555282353,24,34
1555284279,29,26
1555286168,30,23
1555288097,32,32
1555290125,23,33
1555291954,26,21
1555294102,31,29
1555296014,35,34
1555297948,26,35
1555299884,29,35
1555301778,22,33
1555303701,26,60
1555305629,32,36
1555307531,27,40
1555309495,36,43
1555311373,26,33
1555313298,35,41
1555315293,37,31
1555317161,52,29
1555319091,42,36
1555320975,35,23
1555322927,57,30
1555324831,45,30
1555326741,40,24
1555328677,43,37
1555330590,49,920
1555332496,48,4019
1555334436,45,2621
1555336356,45,1055
1555338264,57,64
1555340194,37,37
1555342104,48,21
1555344092,49,38
1555345969,51,34
1555347898,57,33
1555349774,53,225
1555351725,50,32
1555353613,51,29
1555355550,34,24
1555357455,40,40
1555359402,49,39
1555361302,58,52
1555363222,57,37
1555365137,53,33
1555367066,39,30
1555369349,64,48
1555371158,38,31
1555373095,52,36
1555374988,43,33
1555376928,99,36
1555378843,49,32
1555380780,39,31
1555382681,54,43
1555384599,53,35
1555386499,53,28
1555388435,49,33
1555390369,38,38
1555392282,40,39
1555394219,88,41
1555396123,47,41
1555398152,47,42
1555399959,124,44
1555402124,56,47
1555404025,39,50
1555405966,43,51
1555407880,29,40
1555409814,34,54
1555411717,61,52
1555413650,48,43
1555415548,38,43
1555417482,250,46
1555419405,300,53
1555421307,43,46
1555423344,43,51
1555425187,65,48
1555427086,44,32
1555429004,42,42
1555430922,39,46
1555432840,59,64
1555434747,87,47
1555436686,52,62
1555438599,41,33
1555440785,65,56
1555442665,34,38
1555444605,47,46
1555446697,62,46
1555448699,48,80
1555450868,57,58
1555452747,37,42
1555454754,44,56
1555456590,41,55
1555458526,52,46
1555460440,54,41
1555462370,36,108
1555464274,34,52
1555466197,39,48
1555468112,36,46
1555470313,63,66
1555472184,39,55
1555474374,50,62
1555476270,48,41
1555478468,55,62
1555480370,28,39
1555482282,34,101
1555484194,95,49
1555486285,55,127
1555488315,56,50
1555490194,36,42
1555492112,72,42
1555494059,37,31
1555495948,32,34
1555497892,54,54
1555499798,47,53
1555501708,203,27
1555503658,128,230
1555505588,49,311
1555507474,43,60
1555509412,51,46
1555511301,25,67
1555513382,43,52
1555515406,46,51
1555517379,35,38
1555519232,29,58
1555521152,41,86
1555523084,50,51
1555524995,39,43
1555526907,68,57
1555528857,34,31
1555530752,25,37
1555532678,26,56
1555534601,40,46
1555536513,46,52
1555538591,40,55
1555540879,50,45
1555542767,46,43
1555544662,31,49
1555546591,89,58
1555548511,31,35
1555550453,52,34
1555552342,37,38
1555554278,47,47
1555556184,66,39
1555558119,43,55
1555560146,56,43
1555561952,33,44
1555563791,36,49
1555565783,45,39
1555567740,59,34
1555569640,40,71
1555571542,57,61
1555573619,46,58
1555575632,117,46
1555577557,40,59
1555579465,42,45
1555581407,254,40
1555583329,268,45
1555585384,308,45
1555587392,322,126
1555589561,234,223
1555591455,185,49
1555593657,249,47
1555595539,181,56
1555597481,202,29
1555599389,175,44
1555601337,178,43
1555603260,188,43
1555606107,260,48
1555608356,171,52
1555610212,196,46
1555612163,174,50
1555614277,193,60
1555616460,222,37
1555618360,160,23
1555620270,174,42
1555622215,97,54
1555624094,48,39
1555626149,58,46
1555627973,28,42
1555629896,25,49
1555631807,27,56
1555633966,46,83
1555635901,36,46
1555637813,35,38
1555639717,41,42
1555641648,45,52
1555643549,60,66
1555645489,30,46
1555647412,34,52
1555649308,39,45
1555651248,25,42
1555653142,14,48
1555655063,28,55
1555657023,26,48
1555658912,44,36
1555661078,32,93
1555662979,29,52
1555664908,32,44
1555666843,37,124
1555668752,28,302
1555670672,38,305
1555672605,34,296
1555674513,19,280
1555676455,30,197
1555678360,29,194
1555680262,25,204
1555682375,30,218
1555684356,53,177
1555686299,51,170
1555688188,38,178
1555690133,30,186
1555692039,31,183
1555693946,40,157
1555695887,36,181
1555697839,27,182
1555699726,27,173
1555701636,41,64
1555703575,27,51
1555705459,32,88
1555707392,30,216
1555709333,27,288
1555711260,29,112
1555713164,37,37
1555715109,31,23
1555716991,38,19
1555718934,41,40
1555720842,33,39
1555722761,31,35
1555724684,27,34
1555726597,37,43
1555728511,35,54
1555730446,44,51
1555732343,29,32
1555734280,29,31
1555736197,26,41
1555738105,40,22
1555740150,14,20
1555741978,25,25
1555743899,37,34
1555745788,40,44
1555747712,36,32
1555749647,32,29
1555751556,16,36
1555753476,31,41
1555755389,25,27
1555757325,42,41
1555759240,35,36
1555761148,40,24
1555763089,41,31
1555764986,34,29
1555767168,50,28
1555769328,24,37
1555771223,41,30
1555773153,30,36
1555775076,33,35
