DateTime,AddedIPs,RemovedIPs
1554805466,1,1
1554809318,1,0
1554815309,1,2
1554817231,1,0
1554819160,1,1
1554821070,1,1
1554826857,0,1
1554828748,0,1
1554830666,0,2
1554832594,0,1
1554834496,1,0
1554838377,2,0
1554842298,0,1
1554844139,1,2
1554846019,3,2
1554849977,1,2
1554853710,0,1
1554855652,0,1
1554857577,2,2
1554859478,3,1
1554861387,2,1
1554863321,3,2
1554865398,2,2
1554867633,3,3
1554869542,2,1
1554871491,3,0
1554873392,1,1
1554879413,0,1
1554881297,0,1
1554883375,2,0
1554887355,0,2
1554891149,1,1
1554893081,1,1
1554894992,1,0
1554896921,2,0
1554900764,1,0
1554902676,0,2
1554904603,0,1
1554909666,1,2
1554911572,1,0
1554913470,0,1
1554915412,2,0
1554917311,1,0
1554921381,1,1
1554923568,1,1
1554925465,0,1
1554929437,1,0
1554931250,0,3
1554933164,0,1
1554935129,1,0
1554936987,0,1
1554942998,0,1
1554944912,1,3
1554946863,1,3
1554948796,1,3
1554950675,1,1
1554952580,0,4
1554954527,1,2
1554956417,0,1
1554958338,0,4
1554960307,1,0
1554966263,1,0
1554970101,2,2
1554973948,1,0
1554975878,2,0
1554977779,1,1
1554979724,0,1
1554983553,0,1
1554991386,1,0
1554993393,1,0
1554996555,1,1
1554998605,0,2
1555000597,1,1
1555002521,0,1
1555004449,0,2
1555008268,1,1
1555010184,0,1
1555014046,1,0
1555015937,0,1
1555023220,1,1
1555025080,1,0
1555028897,2,0
1555030957,2,1
1555032993,0,1
1555034930,0,1
1555036845,0,1
1555038765,2,0
1555040672,1,1
1555044507,1,0
1555046433,1,1
1555048382,2,0
1555050297,2,0
1555052208,0,1
1555054100,1,0
1555056167,0,1
1555057975,0,1
1555059902,1,0
1555061785,0,3
1555063757,0,2
1555065636,0,1
1555067560,1,0
1555069493,2,0
1555075244,1,0
1555077162,1,1
1555080993,0,2
1555086792,0,1
1555094690,2,1
1555096595,1,0
1555100472,4,0
1555102362,0,1
1555108044,0,1
1555110174,1,0
1555111981,3,0
1555113952,2,1
1555115812,1,2
1555117717,1,2
1555119775,3,0
1555123733,2,2
1555125664,1,1
1555127577,1,0
1555129501,2,0
1555133302,1,1
1555135443,1,3
1555137421,2,1
1555141235,2,1
1555145091,2,1
1555146988,1,0
1555152750,0,1
1555154663,2,1
1555156620,1,2
1555158507,1,0
1555160579,0,1
1555162578,2,0
1555164518,1,0
1555166432,1,0
1555174108,1,0
1555176040,2,0
1555177947,1,0
1555181797,2,2
1555183719,0,1
1555187785,2,2
1555189706,1,1
1555193542,1,0
1555195463,0,1
