DateTime,AddedIPs,RemovedIPs
1554143702,1,0
1554147642,0,1
1554150046,2,1
1554157723,0,1
1554159787,0,2
1554163992,1,0
1554165859,0,1
1554167783,0,1
1554173547,0,5
1554199006,2,0
1554200898,0,1
1554202913,1,0
1554204775,2,0
1554206694,2,0
1554208587,0,1
1554210544,2,0
1554212460,1,0
1554214350,1,0
1554216316,1,0
1554218190,1,1
1554220984,4,0
1554222789,3,1
1554224704,2,0
1554226627,0,1
1554230461,0,1
1554232357,2,0
1554236194,1,2
1554240065,2,0
1554241983,1,0
1554245360,1,0
1554254920,1,0
1554258990,0,1
1554276288,2,0
1554284188,1,1
1554286113,1,1
1554291891,0,2
1554297641,0,2
1554299598,1,0
1554301492,2,2
1554303429,1,0
1554305330,0,3
1554307382,1,2
1554309383,0,3
1554311587,0,2
1554317306,1,0
1554319236,1,0
1554325018,0,2
1554326927,0,1
1554330985,0,1
1554336737,1,5
1554346334,0,1
1554350198,1,0
1554354118,1,0
1554361723,0,1
1554363628,0,2
1554371328,0,2
1554375159,1,0
1554377110,1,0
1554380918,1,0
1554383023,1,0
1554384986,1,0
1554386938,1,3
1554388817,2,1
1554392675,0,1
1554394575,1,0
1554396514,0,1
1554398413,1,0
1554400331,1,0
1554404191,0,1
1554406097,0,1
1554411880,1,0
1554413783,1,0
1554418355,1,0
1554422195,0,1
1554428219,2,0
1554432033,1,0
1554434229,1,0
1554436152,0,1
1554439959,1,0
1554441898,0,1
1554445714,1,0
1554450040,1,0
1554456034,1,0
1554461805,2,1
1554463706,1,1
1554467785,1,1
1554469723,1,2
1554471874,1,0
1554473784,1,1
1554475744,0,2
1554479532,1,0
1554481493,0,1
1554483759,0,1
1554485561,0,1
1554493231,1,0
1554499233,1,1
1554505035,0,1
1554508966,1,0
1554514595,1,2
1554516541,1,0
1554518474,0,1
1554520355,0,1
1554526124,0,1
1554531882,0,1
1554535731,1,1
1554541939,0,1
1554547712,0,1
1554549623,0,2
1554555377,0,2
1554566928,0,1
1554568837,1,0
1554574818,1,0
1554578689,0,1
1554580611,1,1
1554584569,0,1
1554586595,1,0
1554592335,1,0
1554596208,0,1
1554600031,0,1
1554601942,0,1
1554605788,1,0
1554615400,1,0
1554623084,0,1
1554630750,1,0
1554636520,1,0
1554644433,1,0
1554646347,1,1
1554650176,1,0
1554655938,1,0
1554657868,0,1
1554659794,0,1
1554667856,1,1
1554677537,1,0
1554679471,1,1
1554681379,1,1
1554683295,3,0
1554686176,11,0
1554692209,0,1
1554701792,1,0
1554711439,1,0
1554717163,1,0
1554720993,1,0
1554730848,0,1
1554732790,0,1
1554736879,0,1
1554740688,1,0
1554742596,0,1
1554744495,1,0
1554746523,1,0
1554756017,3,0
1554760370,1,0
1554766603,0,1
1554768538,0,1
1554770447,0,2
1554772351,0,1
1554774302,1,0
1554778120,2,4
1554781968,1,1
1554789793,0,1
1554792046,2,0
1554793955,1,0
1554799711,1,0
1554803570,1,1
1554807423,0,2
1554811418,0,11
1554813395,2,0
1554817234,2,0
1554822995,2,0
1554826860,0,1
1554830669,1,1
1554832598,0,1
1554834499,0,1
1554840315,1,0
1554842301,1,3
1554846023,0,1
1554851827,1,0
1554855655,1,0
1554857580,1,0
1554861390,0,1
1554865401,0,2
1554867636,0,1
1554869545,1,0
1554875567,1,0
1554877470,0,1
1554883478,1,0
1554885385,1,0
1554887358,0,1
1554889227,0,1
1554896924,2,0
1554898847,0,2
1554902679,0,1
1554904606,2,1
1554909669,0,2
1554915415,1,0
1554917314,1,1
1554919384,1,0
1554925468,1,0
1554927431,0,1
1554929440,0,1
1554933168,1,0
1554936990,1,0
1554938901,0,2
1554940992,0,1
1554943001,0,2
1554944915,1,0
1554946866,1,0
1554956419,2,1
1554958340,1,0
1554962353,0,1
1554968201,0,1
1554972054,0,1
1554973951,1,0
1554975880,1,0
1554983556,13,2
1554989326,1,0
1554991390,0,1
1554998610,1,1
1555000600,2,0
1555004452,0,2
1555006350,0,1
1555008271,3,0
1555010187,1,0
1555012131,0,1
1555019802,1,1
1555023222,0,1
1555025083,1,0
1555027008,2,0
1555028900,1,0
1555032995,1,1
1555038768,1,0
1555044509,0,2
1555046436,1,1
1555048385,1,0
1555054103,1,0
1555056178,1,0
1555060337,1,0
1555062292,0,1
1555068041,4,0
1555069938,0,13
1555075711,0,1
1555079548,1,0
1555081483,1,0
1555083635,3,0
1555085538,0,1
1555087478,0,2
1555089377,1,0
1555091325,1,0
1555093229,0,1
1555095135,0,1
1555100893,0,2
1555104763,2,0
1555111983,1,0
1555113957,0,2
1555115814,0,2
1555119777,0,1
1555121799,0,2
1555123741,1,0
1555125667,0,2
1555127580,1,0
1555133304,0,1
1555135473,0,1
1555137423,1,0
1555141238,0,1
1555143149,0,1
1555145093,0,1
1555146991,1,0
1555152752,1,0
1555154665,1,4
1555156622,1,0
1555160582,1,0
1555162581,2,0
1555166434,0,1
1555168353,2,1
1555170288,0,3
1555172204,1,0
1555174111,0,1
1555176043,3,0
1555177949,1,1
1555179863,2,0
1555181799,1,0
1555185784,1,0
1555187789,1,0
1555189709,2,0
1555191654,1,1
1555193545,1,0
1555195469,2,0
1555199304,1,2
1555203149,1,0
1555208916,0,1
1555210994,2,0
1555214917,0,1
1555216833,19,0
1555222591,0,1
1555234105,1,1
1555238920,0,1
1555240852,1,0
1555242742,1,1
1555246583,0,1
1555248506,0,2
1555254520,0,2
1555258347,0,1
1555260264,1,0
1555262188,2,2
1555266049,0,3
1555267939,0,1
1555269866,0,1
1555271795,0,1
1555273719,0,1
1555275688,1,1
1555279393,0,1
1555285455,0,2
1555287385,1,0
1555289295,0,1
1555297393,2,2
1555303229,0,19
1555305142,0,1
1555308980,1,0
1555310913,2,1
1555316656,1,0
1555320519,0,1
1555322541,1,0
1555324361,1,0
1555326275,0,1
1555328180,0,1
1555333937,1,0
