DateTime,AddedIPs,RemovedIPs
1555040691,5,21
1555042612,3,18
1555044514,5,6
1555046441,5,13
1555048390,2,23
1555050306,3,22
1555052215,3,14
1555054113,5,14
1555056198,6,21
1555058455,5,17
1555060344,5,11
1555062296,7,12
1555064184,1,17
1555066106,4,10
1555068049,4,10
1555069944,3,11
1555071871,2,10
1555073788,4,13
1555075716,4,8
1555077652,4,6
1555079552,11,8
1555081487,3,13
1555083640,5,9
1555085545,5,19
1555087485,2,8
1555089383,4,23
1555091329,5,5
1555093233,13,19
1555095144,12,18
1555097066,6,14
1555099002,13,16
1555100912,11,20
1555102970,8,5
1555104774,6,4
1555108051,9,10
1555110181,13,3
1555111988,14,3
1555113969,16,9
1555115818,6,2
1555117725,17,6
1555119781,11,1
1555121804,8,5
1555123752,15,5
1555125672,4,4
1555127584,12,4
1555129518,8,3
1555131413,23,5
1555133324,7,5
1555135481,19,3
1555137433,8,3
1555139341,20,4
1555141242,10,4
1555143154,9,7
1555145098,14,4
1555146995,13,6
1555148910,12,6
1555150864,9,1
1555152756,13,4
1555154670,7,3
1555156627,3,3
1555158515,4,4
1555160586,8,3
1555162585,7,4
1555164526,4,3
1555166439,2,14
1555168357,30,1
1555170292,28,4
1555172224,18,3
1555174115,30,3
1555176048,20,3
1555177953,19,8
1555179882,19,13
1555181804,31,10
1555183726,37,6
1555185789,28,13
1555187793,37,10
1555189713,33,6
1555191659,27,8
1555193549,30,7
1555195475,20,8
1555197432,27,12
1555199308,24,13
1555201249,44,8
1555203155,31,16
1555205117,13,5
1555206999,18,16
1555208921,24,4
1555211001,26,14
1555212993,31,4
1555214921,17,15
1555216838,32,23
1555218751,24,6
1555220665,28,13
1555222597,40,10
1555224439,27,11
1555226453,18,17
1555228350,26,12
1555230298,28,6
1555232214,44,18
1555234109,33,7
1555236117,17,13
1555237969,19,9
1555240127,29,9
1555242021,28,8
1555243950,20,3
1555245861,24,4
1555247799,22,9
1555249708,24,4
1555251646,14,4
1555253554,13,9
1555255466,30,35
1555257375,30,18
1555259314,33,20
1555261336,16,28
1555263177,23,14
1555265096,22,19
1555266985,38,11
1555268930,28,39
1555270834,22,34
1555272750,24,23
1555274681,18,32
1555276587,23,29
1555278462,21,20
1555280455,41,29
1555282363,30,16
1555284291,31,25
1555286177,18,24
1555288110,33,39
1555290187,25,26
1555292208,24,7
1555294110,16,21
1555296023,23,28
1555297960,46,31
1555299893,17,20
1555301787,30,25
1555303710,29,26
1555305637,40,19
1555307539,22,33
1555309504,30,43
1555311381,21,18
1555313310,20,19
1555315372,22,32
1555317188,28,30
1555319105,24,42
1555320983,22,29
1555322939,26,13
1555324863,28,31
1555326749,15,26
1555328685,23,19
