DateTime,AddedIPs,RemovedIPs
1554375818,0,2
1554385246,0,1
1554387166,1,1
1554389090,0,1
1554391013,0,1
1554394847,1,0
1554396769,0,2
1554402811,2,0
1554410448,1,0
1554412361,1,2
1554416227,2,0
1554428225,1,0
1554430131,0,1
1554432046,0,3
1554434237,1,0
1554438057,1,0
1554443806,0,1
1554445719,0,1
1554447800,2,0
1554451989,1,0
1554453900,1,0
1554456039,1,0
1554457952,1,0
1554465804,1,0
1554467790,1,0
1554471884,1,0
1554473789,0,1
1554481499,1,1
1554483794,1,0
1554485787,1,0
1554489636,0,2
1554497327,0,1
1554499238,0,1
1554501175,0,2
1554503089,1,0
1554506910,1,0
1554515060,0,1
1554518914,1,1
1554522767,1,1
1554526587,1,0
1554528514,1,0
1554530568,1,0
1554532856,0,1
1554534743,0,1
1554538583,0,1
1554540764,0,1
1554542678,0,1
1554544589,0,1
1554552494,1,1
1554554431,1,1
1554558256,0,1
1554569792,0,2
1554572197,0,1
1554587533,2,0
1554589460,0,1
1554593302,0,1
1554601239,2,0
1554605080,0,1
1554608908,0,1
1554610833,1,0
1554612741,0,1
1554614668,0,1
1554616577,0,1
1554618519,1,0
1554635801,1,0
1554637723,0,1
1554641558,0,1
1554643469,1,0
1554649336,1,0
1554664580,1,0
1554672515,0,2
1554678536,1,0
1554680431,1,0
1554686182,0,1
1554688358,0,1
1554690272,1,0
1554692215,1,0
1554698007,1,1
1554705660,0,1
1554720999,1,0
1554722927,0,1
1554730866,0,1
1554734758,1,0
1554736896,2,1
1554744501,4,0
1554746589,1,0
1554748602,4,0
1554750539,2,1
1554752422,1,0
1554756275,2,0
1554758486,3,0
1554760384,1,0
1554762282,2,0
1554764629,1,1
1554766618,1,1
1554770469,1,0
1554772380,1,0
1554776233,1,0
1554778126,0,2
1554780036,1,0
1554785803,1,1
1554787780,1,0
1554789798,1,0
1554795901,1,0
1554801669,2,0
1554803576,2,0
1554807429,3,1
1554809327,1,0
1554821080,0,1
1554823001,0,1
1554824917,1,1
1554826876,1,0
1554828760,1,0
1554830683,1,4
1554832606,0,1
1554834507,1,4
1554836581,0,1
1554838386,2,1
1554840333,0,1
1554842308,0,2
1554844165,0,3
1554847978,0,1
1554849987,2,3
1554851833,0,1
1554853732,1,0
1554857586,0,2
1554859505,1,0
1554861396,1,1
1554865409,1,0
1554867651,0,1
1554871500,0,1
1554875574,0,2
1554877484,1,0
1554879446,1,0
1554883512,2,1
1554887364,0,2
1554889233,2,2
1554891157,1,0
1554893090,0,2
1554895037,0,2
1554904612,1,0
