DateTime,AddedIPs,RemovedIPs
1554879447,1,1
1554881307,1,0
1554883513,3,0
1554885400,1,1
1554887365,1,0
1554891157,1,0
1554893090,0,2
1554895037,0,2
1554896938,1,2
1554898853,0,3
1554900774,2,0
1554902694,3,2
1554904613,0,1
1554906526,1,2
1554909675,1,2
1554911589,3,0
1554913479,2,0
1554915422,1,4
1554917320,1,3
1554921389,2,0
1554923579,0,1
1554925473,1,0
1554927438,0,2
1554929446,2,1
1554931259,1,2
1554933173,1,0
1554935138,1,0
1554936996,2,4
1554938908,2,1
1554943015,4,0
1554944922,1,2
1554946872,0,2
1554948806,0,1
1554954536,2,1
1554956425,1,2
1554958357,2,1
1554960316,0,1
1554962360,3,0
1554966272,0,1
1554968207,1,0
1554970109,0,2
1554972074,0,2
1554973956,1,0
1554975886,0,1
1554977787,2,1
1554979732,2,0
1554981658,3,0
1554983561,2,3
1554985473,1,2
1554987384,0,3
1554989332,2,2
1554991396,2,1
1554993401,1,0
1554996563,1,2
1554998679,3,3
1555000605,1,0
1555002539,0,2
1555006356,2,0
1555008276,3,2
1555010192,1,1
1555012136,3,2
1555014053,3,0
1555015945,2,4
1555017893,2,0
1555019807,0,1
1555023228,5,2
1555025089,3,1
1555027013,6,1
1555028905,1,0
1555030965,36,1
1555033000,5,0
1555034937,1,1
1555036861,0,1
1555040691,3,1
1555044515,0,1
1555046442,1,1
1555048391,0,3
1555050308,0,1
1555052216,1,0
1555054114,1,1
1555058456,2,0
1555062313,2,1
1555064185,0,2
1555066107,0,1
1555068050,2,2
1555069945,1,3
1555071871,1,1
1555075716,0,3
1555077663,0,2
1555079553,0,2
1555083641,0,4
1555085546,1,1
1555087485,2,0
1555089384,1,1
1555091330,1,0
1555093234,3,2
1555095145,3,2
1555097067,0,1
1555099003,1,1
1555100913,0,2
1555102979,0,2
1555104989,0,3
1555108051,5,3
1555110182,2,1
1555111989,2,2
1555113970,0,2
1555115819,0,2
1555117726,2,1
1555119782,0,2
1555121805,0,1
1555123753,0,4
1555125673,3,45
1555127585,0,1
1555129519,6,1
1555131414,1,1
1555133324,3,0
1555135482,3,0
1555137434,1,0
1555139342,2,1
1555141243,2,0
1555143155,1,1
1555145098,0,1
1555146996,0,1
1555148911,0,1
1555150865,0,1
1555152757,1,0
1555156628,1,1
1555158516,1,0
1555160587,3,1
1555162586,3,1
1555164526,2,0
1555166439,1,0
1555168358,1,2
1555170293,1,0
1555172225,1,1
1555174116,3,1
1555176048,2,1
1555179883,0,4
1555181805,0,2
1555183727,1,0
1555187794,4,1
1555189714,1,2
1555191660,2,1
1555193550,0,5
1555195476,0,1
1555197433,2,0
1555201250,1,1
1555203156,1,2
1555205118,2,0
1555207000,3,0
1555208922,3,0
1555211003,3,1
1555212993,1,1
1555214922,1,2
1555216839,0,2
1555218753,1,3
1555220666,0,1
1555224440,0,1
1555226454,0,1
1555228351,0,1
1555230299,1,1
1555234110,3,0
1555236130,1,0
1555240129,2,1
1555243951,1,2
1555249709,0,1
1555251646,0,2
1555253555,0,1
1555255467,2,3
1555257376,0,1
1555259315,0,2
1555261343,1,0
1555263178,0,2
1555265097,3,2
1555266986,2,0
1555268931,4,2
1555270835,1,1
1555272751,1,2
1555274682,3,2
1555276588,0,1
1555278463,1,1
1555280456,0,1
1555282364,0,1
1555284292,0,5
1555286178,0,3
1555292209,2,2
1555294112,0,3
1555296024,1,4
1555297961,0,3
1555299894,1,0
1555303711,0,1
1555305638,1,0
1555307541,1,0
1555309505,0,1
1555311382,0,1
1555313311,3,1
1555315373,1,0
1555317189,1,0
1555319107,2,0
1555320985,5,1
1555322940,3,3
1555324864,0,1
1555326750,1,6
1555328686,0,4
1555330599,0,1
1555334444,0,1
1555336366,0,2
1555338287,2,1
1555340206,0,1
1555342113,6,0
1555344172,1,0
1555345978,2,0
1555347937,1,0
1555349782,1,0
1555351734,0,4
1555353622,2,1
1555355561,1,2
1555357479,1,1
1555359411,0,2
1555361310,0,1
1555363232,2,0
1555365145,2,0
1555367074,0,2
1555371376,0,3
1555373305,1,0
1555375216,1,0
1555377141,2,1
1555380992,0,1
1555382913,1,1
1555384845,1,1
1555386758,1,0
1555392516,0,1
1555394575,1,1
1555396589,1,0
1555398529,1,0
1555400420,1,0
1555402614,0,1
1555404524,0,1
1555406432,1,1
1555408352,1,0
1555410190,1,0
1555412535,1,1
1555416294,1,0
1555418725,0,1
1555420574,2,0
1555422524,0,1
1555424431,1,1
1555426336,0,3
1555430191,1,2
1555432095,2,0
1555434097,0,2
1555436230,1,1
1555440029,0,3
1555441936,0,3
1555445805,1,0
1555449637,2,1
1555451533,1,0
1555454765,3,2
1555456600,1,0
1555458537,1,5
1555460451,0,3
1555462381,0,6
1555464285,2,0
1555466223,3,0
1555468138,2,1
1555470333,1,0
1555474385,3,2
1555476281,0,1
1555480380,1,3
1555482292,0,4
1555484205,1,1
1555486295,1,3
1555488330,2,1
1555494072,0,1
1555495962,0,3
1555497919,0,3
1555499813,0,4
1555501720,1,0
1555503685,1,2
1555505611,0,1
1555507486,4,1
1555511312,2,0
1555513396,2,0
1555515418,1,1
1555517408,0,1
1555519244,0,1
1555521179,0,2
1555523097,1,1
1555525007,3,0
1555528877,2,0
1555530764,1,2
1555534614,2,1
1555536525,0,1
1555538628,3,1
1555540899,3,2
1555542782,2,3
1555544674,1,2
1555546603,2,0
1555548524,3,0
1555550466,2,2
1555552358,0,2
1555554290,0,2
1555556196,2,0
1555558146,1,1
1555560235,1,0
1555562185,0,1
1555564127,2,0
1555566048,1,0
1555570352,1,0
1555572267,1,0
1555574188,0,3
1555576120,0,1
1555578182,1,0
1555580434,1,0
1555582365,4,0
1555586181,3,0
1555590288,0,2
1555592256,0,1
1555594116,0,2
1555596073,2,0
1555597953,2,4
1555599881,1,1
1555603748,0,2
1555607964,3,0
1555609949,2,1
1555613785,0,1
1555616018,0,1
1555617937,0,2
1555619812,1,1
1555621965,1,1
1555626165,2,0
1555627985,1,5
1555629911,1,3
1555631823,1,0
1555633981,2,2
1555635918,1,2
1555639727,3,2
1555641684,1,0
1555643560,0,4
1555645518,2,0
1555647433,0,1
1555649321,0,1
1555651260,1,0
1555653154,1,0
1555655075,0,1
1555658925,1,0
1555661096,1,0
1555664938,1,1
1555668765,0,3
1555670684,1,0
1555672618,0,4
1555674540,1,0
1555676467,0,1
1555678371,3,0
1555680274,2,1
1555682388,1,4
1555684368,0,1
1555688199,7,0
1555690145,4,0
