DateTime,AddedIPs,RemovedIPs
1555645454,5,9
1555646167,5,6
1555646916,0,7
1555647629,5,1
1555648356,4,4
1555649069,5,3
1555649798,6,1
1555650509,0,4
1555651229,3,1
1555651960,3,1
1555652671,1,13
1555653386,2,3
1555654113,3,1
1555654826,3,3
1555655648,5,2
1555656270,1,0
1555656989,5,1
1555657708,2,4
1555658434,3,12
1555659156,0,3
1555659871,4,0
1555660588,8,3
1555661323,0,5
1555662006,7,0
1555662735,1,4
1555663454,4,2
1555664171,0,5
1555664889,1,1
1555665610,0,4
1555666337,3,1
1555667056,0,1
1555667768,4,2
1555668493,3,3
1555669206,6,2
1555669948,0,5
1555670653,2,1
1555671370,2,4
1555672089,3,3
1555672818,5,3
1555673538,4,2
1555674263,6,2
1555674967,4,3
1555675698,1,7
1555676420,6,4
1555677140,1,7
1555677872,3,4
1555678574,6,0
1555680010,2,5
1555680734,8,2
1555682692,4,7
1555683370,3,3
1555684090,4,6
1555684813,2,4
1555685532,5,6
1555686261,2,0
1555687234,8,4
1555687954,2,0
1555688681,2,7
1555689386,1,0
1555690113,2,9
1555690827,1,6
1555691559,3,0
1555692269,2,3
1555692993,4,5
1555694170,3,7
1555694892,4,3
1555695619,5,3
1555696357,3,4
1555697073,6,1
1555697789,5,4
1555698513,4,4
1555699228,1,6
1555699951,4,3
1555700672,5,5
1555701391,1,9
1555702112,4,2
1555702838,3,6
1555703556,4,2
1555704274,3,1
1555704993,3,4
1555705710,6,2
1555706428,3,5
1555707152,4,4
1555707889,1,1
1555708590,3,0
1555709315,2,2
1555710027,2,3
1555710769,4,5
1555711471,3,4
1555712908,6,0
1555713628,1,3
1555714351,4,4
1555715536,7,6
1555716250,3,7
1555716973,7,0
1555717695,2,4
1555718463,4,6
1555719136,4,0
1555719852,4,2
1555720568,5,4
1555721293,5,5
1555722022,2,4
1555722743,8,6
1555723452,10,5
1555724171,7,8
1555724889,12,7
1555725621,9,13
1555726332,5,12
1555727067,4,8
1555727770,4,5
1555728493,7,5
1555729224,8,5
1555729936,2,12
1555730649,6,0
1555731371,4,4
1555732093,8,8
1555732831,6,3
1555733533,5,3
1555734253,0,4
1555734971,2,5
1555735695,3,0
1555736418,3,3
1555737628,2,4
1555738355,2,0
1555739077,6,6
1555739787,3,0
1555740512,3,2
1555741226,3,4
1555741960,2,4
1555742672,2,1
1555743389,2,3
1555744113,3,0
1555744840,3,6
1555745533,3,0
1555746256,2,6
1555746966,8,0
1555747695,1,2
1555748335,2,2
1555749140,6,3
1555749852,5,2
1555750576,4,0
1555751291,2,3
1555752012,4,4
1555752737,0,1
1555753459,7,1
1555754167,2,1
1555754919,1,1
1555755628,0,6
1555756360,3,2
1555757071,5,1
1555757794,2,2
1555758761,3,3
1555759470,2,1
1555760196,4,3
1555760909,3,3
1555761638,1,1
1555762348,2,5
1555763072,5,5
1555763787,2,3
1555764523,4,2
1555765238,4,3
1555765959,2,3
1555766672,3,3
1555767389,3,1
1555768112,4,2
1555768841,5,5
1555769551,5,4
1555770273,1,5
1555770990,3,4
1555771715,4,4
1555772440,4,1
1555773134,4,4
1555773851,2,4
1555774568,3,2
1555775295,1,5
1555776020,1,2
1555776738,2,4
1555777454,1,3
1555778172,7,4
1555778891,5,13
1555779622,3,2
1555780333,2,0
1555781051,2,5
1555781768,6,1
1555782511,2,7
1555783243,2,3
1555783931,0,3
1555784676,5,8
1555785370,3,0
1555786091,5,2
1555786821,3,2
1555787535,3,4
1555788255,5,8
1555788975,2,3
1555789690,1,4
1555790447,3,6
1555791131,4,4
1555791852,2,6
1555792569,2,2
1555793292,0,4
1555794015,3,6
1555794756,2,3
1555795449,5,7
1555796169,2,5
1555796893,4,4
1555797620,3,4
1555798342,2,6
1555799050,1,3
1555801014,8,6
1555801688,3,3
1555802408,0,5
1555803134,2,2
1555803858,3,3
1555804567,2,8
1555805772,5,5
1555806489,2,5
1555807211,4,4
1555807933,6,3
1555808665,0,4
1555809374,3,4
1555810090,6,6
1555810814,8,8
1555811532,2,9
1555812253,12,14
1555813233,11,8
1555813952,2,4
1555814676,9,4
1555815369,3,8
1555816094,5,3
1555816807,6,5
1555817543,10,2
1555818255,5,6
1555818990,4,4
1555819711,1,5
1555820439,2,0
1555821155,1,0
1555821872,4,1
1555822587,1,3
1555823311,2,3
1555824028,2,1
1555824755,2,1
1555825472,1,0
1555826195,0,3
1555826912,4,2
1555827646,2,0
1555828359,9,3
1555829074,2,1
1555829788,6,1
1555830510,2,2
1555831230,4,2
1555831966,0,4
1555832670,1,1
1555833389,4,3
1555834108,2,3
1555834830,1,2
1555835697,0,4
1555836739,5,4
1555837452,1,4
1555838174,4,2
1555838896,0,2
1555839613,6,0
1555840351,4,4
1555841074,2,3
1555841797,2,7
1555842512,5,0
1555843227,0,2
1555843949,1,0
1555844676,3,2
1555845391,1,3
1555846110,3,1
1555846831,1,2
1555847561,1,5
1555848280,1,4
