DateTime,AddedIPs,RemovedIPs
1555349698,488,82
1555351010,496,20
1555352108,312,46
1555353854,517,59
1555354567,298,0
1555355647,166,66
1555357015,456,83
1555359247,511,79
1555360087,270,1
1555361767,427,99
1555362878,170,56
1555364107,106,103
1555366394,137,94
1555368968,225,81
1555370048,106,100
1555371307,104,104
1555372503,66,0
1555373648,53,68
1555375668,126,79
1555377247,108,74
1555379693,123,79
1555381208,95,52
1555381688,27,0
1555383367,84,96
1555384454,57,77
1555386007,80,81
1555386967,81,34
1555388123,71,38
1555389616,84,58
1555391116,91,61
1555391648,37,0
1555393328,119,52
1555394175,49,1
1555395319,41,82
1555396509,75,63
1555397778,62,18
1555398908,62,45
1555400526,97,76
1555402447,110,74
1555403569,72,57
1555404891,62,19
1555406117,60,59
1555407727,114,97
1555409654,118,67
1555410487,34,0
1555413248,154,175
1555414507,56,86
1555415767,66,39
1555416909,63,60
1555418416,316,95
1555419907,180,110
1555420447,37,0
1555422126,110,87
1555422967,57,0
1555424117,53,75
1555425607,94,90
1555426792,79,101
1555428007,63,8
1555429207,86,85
1555431006,97,111
1555432245,73,102
1555433407,95,0
1555434848,151,82
1555436528,113,127
1555438456,142,50
1555439726,154,58
1555440967,127,34
1555442108,143,51
1555442888,68,1
1555445648,202,169
1555447327,130,117
1555449248,148,47
1555450087,59,1
1555450927,62,84
1555452847,144,59
1555454529,108,73
1555455377,92,0
1555456508,85,40
1555458127,109,95
1555458967,59,0
1555460048,58,51
1555461307,106,70
1555463108,143,76
1555463648,37,0
1555464488,53,0
1555466167,105,93
1555467248,69,50
1555470142,148,168
1555471508,71,1
1555472536,47,98
1555474219,98,72
1555475644,60,64
1555476969,77,18
1555478109,50,87
1555479907,83,130
1555481408,124,80
1555483224,134,115
1555484168,78,18
1555486087,168,67
1555487409,90,133
1555488608,78,47
1555489687,66,1
1555491308,130,300
1555492447,73,543
1555493286,73,3
1555494966,119,734
1555496046,79,290
1555497730,138,562
1555499647,128,76
1555500496,58,2
1555503248,210,687
1555504086,99,1
1555504928,77,511
1555505767,79,1
1555506917,115,340
1555508108,126,495
1555509307,90,237
1555510497,100,423
1555512138,120,638
1555513508,113,358
1555515061,93,342
1555515734,43,204
1555517647,153,409
1555519019,97,595
1555520448,90,751
1555522087,176,3
1555523302,114,956
1555524607,101,619
1555525819,149,562
1555527367,146,330
1555528447,96,586
1555530007,196,962
1555530967,70,401
1555532107,73,667
1555533241,82,332
1555533727,23,0
1555535107,88,144
1555536486,85,1
1555537327,56,174
1555538166,74,1
1555539266,90,126
1555540928,78,203
