DateTime,AddedIPs,RemovedIPs
1555348458,75,33
1555349711,84,37
1555351028,69,21
1555352418,59,24
1555353868,49,46
1555354576,30,1
1555355656,34,25
1555357024,38,39
1555359256,50,42
1555360097,22,17
1555361776,42,50
1555362887,27,24
1555364117,14,34
1555366412,40,30
1555368981,55,29
1555370065,27,37
1555371317,24,25
1555372515,33,6
1555373662,24,26
1555375682,43,34
1555377257,24,34
1555379702,50,49
1555381227,35,30
1555381698,8,1
1555383377,37,34
1555384469,27,31
1555386027,30,40
1555386986,54,24
1555388148,30,18
1555389631,28,24
1555391138,28,27
1555391660,7,8
1555393339,34,29
1555394189,22,1
1555395337,18,36
1555396522,38,29
1555397794,15,15
1555398929,21,16
1555400537,30,43
1555402459,35,33
1555403577,26,28
1555404901,22,15
1555406132,23,29
1555407744,40,43
1555409672,48,27
1555410506,14,11
1555413260,65,89
1555414518,19,28
1555415776,29,14
1555416922,31,26
1555418430,38,43
1555419926,40,36
1555420462,13,3
1555422136,42,23
1555422976,14,14
1555424136,17,27
1555425627,40,37
1555426807,31,34
1555428019,30,5
1555429223,25,32
1555431026,34,51
1555432256,28,42
1555433424,32,4
1555434858,25,42
1555436538,49,69
1555438468,99,27
1555439735,94,27
1555440975,71,21
1555442125,91,30
1555442899,44,5
1555445658,120,81
1555447337,81,45
1555449261,79,30
1555450096,17,5
1555450936,21,26
1555452858,59,19
1555454539,47,33
1555455389,33,8
1555456520,36,21
1555458136,36,47
1555458981,20,4
1555460058,24,30
1555461317,46,33
1555463120,45,24
1555463659,14,3
1555464498,15,2
1555466182,46,39
1555467259,23,13
1555470158,53,52
1555471520,36,13
1555472553,19,34
1555474234,41,36
1555475666,30,20
1555476983,23,15
1555478123,25,31
1555479918,33,35
1555481421,44,21
1555483249,40,29
1555484178,22,8
1555486105,30,30
1555487420,35,49
1555488621,26,28
1555489699,29,3
1555491320,39,190
1555492464,23,207
1555493296,15,7
1555494977,39,331
1555496055,30,42
1555497740,39,244
1555499659,44,59
1555500508,20,7
1555503261,101,104
1555504096,60,6
1555504936,57,69
1555505784,53,15
1555506930,71,31
1555508118,61,44
1555509317,48,23
1555510508,67,31
1555512156,58,47
1555513526,55,38
1555515078,59,54
1555515751,14,12
1555517661,66,25
1555519029,45,29
1555520459,29,54
1555522104,29,8
1555523314,40,62
1555524619,36,31
1555525832,27,38
1555527376,84,31
1555528469,60,32
1555530024,150,44
1555530979,44,17
1555532125,48,25
1555533251,38,37
1555533737,14,4
1555535120,56,49
1555536498,48,14
1555537344,41,52
1555538184,34,4
1555539314,46,37
1555540938,32,52
1555542287,30,26
1555543518,29,12
1555545378,58,45
1555546521,32,37
1555547295,33,8
1555548450,36,48
1555550065,33,38
1555551738,40,46
1555553662,33,22
1555555528,38,36
1555556728,30,61
1555558306,53,42
1555559418,61,26
1555560633,32,21
1555562562,42,46
1555563938,28,37
1555565291,26,6
1555567831,61,78
1555569038,20,31
1555570184,30,26
1555570577,11,1
1555571705,39,20
1555572496,16,2
1555573747,28,47
1555575259,27,25
1555576100,25,15
1555577725,45,75
1555578866,49,15
1555579700,24,3
1555581025,28,72
1555582224,36,34
1555582466,6,3
1555583299,14,8
1555586059,70,85
1555586904,13,5
1555589429,63,93
1555591229,45,46
1555592193,16,18
1555593320,18,24
1555594948,29,51
1555596619,42,24
1555597848,22,30
1555599375,38,23
1555600460,16,29
1555602148,42,46
1555602976,18,10
1555604129,21,32
1555605327,22,47
1555606576,28,26
1555607727,20,27
1555608924,31,52
1555611018,49,50
1555611260,3,4
1555612942,36,44
1555614857,41,55
1555615705,20,11
1555616536,19,47
1555617730,33,57
1555619111,32,7
1555620311,29,60
1555621525,24,34
1555622716,27,6
1555623738,25,47
1555625665,34,37
1555626926,17,36
1555629260,50,46
1555630830,35,49
1555631794,9,20
1555632868,15,32
1555633700,19,3
1555634537,21,50
1555635756,32,34
1555637299,32,1
1555638920,36,39
1555640070,20,26
1555641621,29,40
1555643128,33,40
1555644329,21,14
1555645347,22,42
1555647268,32,35
1555648828,27,39
1555650325,29,30
1555650865,11,0
1555651701,14,2
1555653224,16,61
1555654463,22,21
1555656141,28,39
1555657527,19,46
1555659046,21,53
1555660292,30,17
1555661423,29,32
1555662613,23,35
1555664187,23,21
1555665256,18,27
1555666940,22,50
1555667776,14,1
1555668940,18,41
1555669717,13,7
1555670537,21,42
1555672459,33,44
1555673719,39,66
1555675327,49,46
1555676059,18,10
1555677736,45,56
1555679124,35,42
1555681823,59,55
1555683019,25,62
1555684098,20,9
1555685399,38,63
1555686620,27,44
1555688538,59,66
1555689377,17,4
1555690527,87,23
1555691295,49,2
1555692916,67,59
1555694070,40,25
1555694897,18,6
1555696350,38,43
1555697659,23,25
1555699196,27,42
1555700725,21,54
1555702232,28,43
1555702937,14,4
1555704627,33,46
1555706537,38,62
1555707379,12,0
1555708456,26,131
1555709722,25,70
1555710978,23,22
1555712060,20,26
1555713739,34,66
1555715113,23,47
1555716629,27,75
1555718178,37,24
1555719320,17,47
1555720099,8,0
1555720939,17,86
1555722860,29,45
1555723696,20,9
1555724552,21,45
1555726126,33,36
1555727458,24,55
1555728979,33,36
1555730059,24,40
1555731627,34,64
1555733426,40,66
1555734676,22,47
1555736727,75,63
1555737936,28,2
1555738937,24,57
1555740622,35,65
1555741707,27,11
1555743927,47,140
1555745296,33,14
1555746137,23,63
1555748067,35,46
1555748897,14,1
1555749740,23,75
1555751664,39,45
1555752496,18,6
1555754183,32,58
1555755272,26,37
1555756937,135,62
1555758323,31,40
1555759699,26,13
1555760536,15,58
1555762226,21,49
1555763444,18,50
1555765519,50,51
1555766060,10,5
1555769411,71,75
1555770621,27,37
1555772189,26,20
1555773260,17,37
1555774516,37,43
1555775694,22,9
1555776861,22,36
1555777696,17,10
1555779377,35,47
1555780521,26,30
1555781295,13,6
1555782140,12,40
1555782984,15,10
1555784898,47,43
1555786575,32,27
1555787728,15,41
1555788497,10,6
1555789339,19,45
1555790176,15,8
1555791265,31,29
1555792096,29,5
1555793804,25,47
1555794859,19,28
1555796116,17,40
1555797934,38,32
1555799305,16,4
1555800934,28,47
1555802121,20,24
1555803758,29,59
1555804579,14,4
1555805673,29,43
1555806506,30,8
1555807337,13,45
1555808720,33,37
1555810105,24,18
1555811424,22,52
1555812636,21,37
1555812867,3,2
1555814541,41,61
1555816468,28,33
1555817305,11,5
1555818149,10,48
1555820057,41,42
1555821638,34,39
1555823126,29,52
1555823666,12,2
1555824497,25,2
1555825817,33,48
1555827029,20,36
1555828111,20,11
1555829648,45,46
1555830754,20,35
1555832536,35,60
1555834215,27,24
1555835296,24,9
1555836424,21,51
1555838058,23,39
1555839735,23,37
1555841428,31,58
1555842633,18,42
1555844116,19,31
1555845328,17,91
1555846936,30,55
1555848863,34,49
1555849703,18,2
1555850540,21,43
1555852460,38,55
1555854023,26,39
1555854979,13,20
1555856060,22,32
1555857746,37,52
1555859657,36,35
1555861216,32,56
