DateTime,AddedIPs,RemovedIPs
1554870028,20,11
1554871941,21,16
1554873864,25,18
1554875787,19,12
1554881556,15,58
1554883723,9,14
1554885629,8,25
1554887533,8,17
1554889467,5,15
1554891375,9,19
1554893288,15,21
1554895226,15,11
1554897127,15,20
1554899050,14,19
1554900966,15,0
1554902890,21,8
1554904824,17,17
1554906738,10,12
1554909890,17,33
1554911768,17,21
1554913691,8,25
1554915629,18,16
1554917556,10,0
1554919720,24,0
1554921631,17,18
1554923541,21,25
1554925451,17,13
1554927396,18,22
1554929301,12,25
1554931230,10,0
1554933667,9,0
1554935540,16,18
1554937709,10,19
1554939613,7,15
1554941541,12,15
1554945402,8,41
1554947292,8,15
1554949216,12,24
1554951146,10,23
1554956891,10,62
1554958827,21,24
1554960764,16,28
1554962661,23,16
1554966513,18,36
1554968438,12,21
1554970335,22,16
1554972257,17,11
1554976122,3,30
1554979936,13,31
1554981853,21,19
1554983794,17,14
1554987659,23,27
1554989981,23,11
1554991937,15,14
1554993860,22,13
1554997013,13,29
1555002745,17,35
1555004676,14,12
1555006601,19,22
1555008519,13,15
1555010416,18,16
1555016177,20,58
1555018365,18,18
1555020526,19,11
1555023404,13,20
1555025294,29,14
1555027257,16,18
1555032978,14,56
1555036835,10,31
1555038756,13,14
1555044497,13,32
1555046414,19,19
1555048353,26,16
1555050276,17,26
1555052190,18,0
1555056039,6,34
1555059869,10,29
1555061772,10,0
1555063724,15,0
1555067549,14,19
1555069475,12,23
1555071375,21,0
1555073295,13,18
1555075221,20,15
1555079057,11,38
1555080974,22,16
1555082910,26,18
1555084864,21,15
1555087000,24,12
1555088901,17,18
1555092759,8,32
1555094673,16,17
1555096573,14,18
1555098493,9,15
1555102344,17,30
1555104254,10,16
1555108384,13,14
1555112414,11,41
1555114376,13,23
1555116254,15,0
1555122016,16,47
1555123932,7,0
1555125851,13,17
1555127769,19,15
1555133558,13,16
1555135724,13,16
1555137625,18,23
1555139534,14,18
1555141487,6,15
1555143373,12,25
1555145537,18,13
1555147472,6,13
1555149391,4,7
1555153237,12,8
1555157065,12,0
1555158993,22,11
1555160915,16,22
1555164735,19,14
1555166673,18,14
1555168572,16,19
1555170492,21,22
1555174331,18,16
1555178190,19,41
1555180091,25,11
1555182029,7,10
1555183961,18,0
1555185876,15,12
1555189695,24,19
1555193533,23,28
1555195452,18,13
1555197391,11,16
1555199291,15,9
1555203133,15,9
1555206979,22,30
1555208900,13,0
1555210839,16,0
1555212760,16,25
1555214668,8,18
1555218511,13,32
1555220432,12,14
1555222330,19,13
1555232192,15,42
1555234087,11,18
1555236033,7,4
1555237961,23,4
1555242012,20,14
1555243931,16,23
1555245850,19,22
1555247785,13,12
1555251625,24,37
1555255448,22,27
1555257365,32,19
1555259305,18,21
1555265057,25,61
1555266969,28,13
1555268920,21,0
1555270815,30,8
1555272731,15,14
1555274671,25,22
1555276571,20,0
1555278734,23,24
1555280650,14,0
1555286437,16,39
1555288353,9,19
1555290517,16,21
1555292409,16,20
1555294348,15,23
1555296247,16,18
1555298171,11,16
1555300089,15,17
1555302030,15,12
1555303931,15,10
1555305855,22,15
1555307788,18,18
1555309692,12,15
1555311790,10,22
1555313767,15,17
1555315711,16,40
1555317613,21,0
1555319555,14,12
1555321452,2,0
1555323377,12,4
1555325291,11,9
1555327231,20,31
1555329129,29,0
