DateTime,AddedIPs,RemovedIPs
1554870028,51,50
1554871941,50,51
1554873864,64,53
1554875787,59,63
1554881556,56,59
1554883723,53,52
1554885629,34,55
1554887533,36,34
1554889467,23,37
1554891375,26,28
1554893288,40,26
1554895226,54,38
1554897127,60,54
1554899050,58,60
1554900966,52,59
1554902890,59,50
1554904824,49,59
1554906738,39,48
1554909890,54,38
1554911768,55,53
1554913691,46,53
1554915629,55,49
1554917556,58,56
1554919720,58,54
1554921631,56,61
1554923541,68,57
1554925451,54,66
1554927396,61,55
1554929301,53,59
1554931230,53,56
1554933667,47,49
1554935540,50,52
1554937709,53,46
1554939613,44,56
1554941541,51,43
1554945402,46,45
1554947292,40,45
1554949216,50,45
1554951146,45,52
1554956891,41,47
1554958827,63,37
1554960764,61,67
1554962661,66,56
1554966513,66,70
1554968438,55,61
1554970335,48,56
1554972257,51,48
1554976122,10,59
1554979936,50,11
1554981853,64,45
1554983794,65,63
1554987659,66,64
1554989981,62,66
1554991937,55,64
1554993860,56,52
1554997013,47,53
1555002745,52,53
1555004676,49,49
1555006601,59,51
1555008519,50,60
1555010416,61,48
1555016177,51,59
1555018365,54,52
1555020526,51,55
1555023404,52,51
1555025294,60,54
1555027257,50,58
1555032978,60,48
1555036835,59,65
1555038756,51,56
1555044497,62,53
1555046414,63,60
1555048353,65,58
1555050276,47,64
1555052190,51,53
1555056039,21,54
1555059869,36,24
1555061772,62,35
1555063724,58,59
1555067549,62,57
1555069475,45,62
1555071375,64,47
1555073295,57,66
1555075221,61,55
1555079057,40,59
1555080974,46,38
1555082910,50,49
1555084864,57,50
1555087000,48,57
1555088901,42,46
1555092759,34,42
1555094673,42,37
1555096573,30,42
1555098493,38,30
1555102344,44,39
1555104254,32,40
1555108384,37,30
1555112414,49,40
1555114376,42,47
1555116254,42,45
1555122016,43,41
1555123932,58,44
1555125851,48,52
1555127769,58,52
1555133558,48,60
1555135724,59,47
1555137625,56,56
1555139534,52,55
1555141487,45,52
1555143373,40,46
1555145537,53,45
1555147472,19,55
1555149391,30,19
1555153237,50,27
1555157065,48,50
1555158993,50,46
1555160915,53,48
1555164735,57,54
1555166673,61,60
1555168572,55,64
1555170492,56,52
1555174331,62,58
1555178190,45,54
1555180091,59,50
1555182029,42,59
1555183961,50,41
1555185876,47,43
1555189695,47,54
1555193533,59,50
1555195452,52,58
1555197391,43,43
1555199291,47,44
1555203133,51,52
1555206979,56,51
1555208900,52,55
1555210839,44,51
1555212760,53,48
1555214668,36,38
1555218511,43,46
1555220432,42,45
1555222330,51,42
1555232192,41,55
1555234087,35,40
1555236033,19,39
1555237961,60,18
1555242012,50,54
1555243931,48,50
1555245850,56,53
1555247785,59,56
1555251625,61,57
1555255448,52,63
1555257365,66,53
1555259305,59,60
1555265057,68,62
1555266969,69,70
1555268920,59,64
1555270815,58,63
1555272731,46,60
1555274671,56,46
1555276571,55,53
1555278734,57,52
1555280650,61,59
1555286437,46,62
1555288353,39,41
1555290517,55,38
1555292409,48,55
1555294348,54,51
1555296247,58,55
1555298171,47,54
1555300089,52,52
1555302030,54,54
1555303931,52,52
1555305855,62,58
1555307788,45,54
1555309692,47,46
1555311790,54,46
1555313767,50,55
1555315711,48,49
1555317613,56,53
1555319555,30,56
1555321452,13,32
1555323377,33,14
1555325291,31,32
1555327231,57,30
1555329129,57,53
1555331050,60,61
1555332988,52,53
1555336822,40,55
1555338756,58,41
1555340655,44,57
1555344521,38,44
1555346410,44,36
1555348335,40,47
1555350270,53,41
1555352173,58,54
1555354088,59,59
1555356009,47,57
1555361768,53,47
1555363714,55,54
1555365626,56,55
1555367557,46,56
1555369728,63,47
1555371633,55,61
1555375475,49,49
1555377377,55,52
1555379538,44,56
1555381459,62,45
1555383392,60,65
1555385305,62,58
1555387252,60,61
1555389159,51,59
1555391053,60,51
1555392969,55,55
1555394910,38,49
1555396814,41,38
1555398736,50,49
1555400652,49,53
1555404516,50,51
1555408344,11,51
1555410517,14,13
1555412435,46,14
1555414355,48,41
1555416256,44,44
1555418196,55,46
1555420091,47,57
1555422011,61,47
1555423931,51,62
1555427773,52,52
1555429689,55,49
1555433529,58,58
1555437366,60,53
1555439290,54,59
1555441238,48,58
1555443159,57,46
1555445054,56,57
1555447002,38,58
1555452734,51,39
1555455172,53,46
1555457076,53,54
1555460893,45,56
1555462832,43,47
1555464758,43,42
1555468570,45,43
1555470738,48,44
1555472657,46,48
1555474597,48,47
1555476495,58,46
1555478446,45,57
1555480352,59,45
