DateTime,Entries,UniqueIPs
1550733608,18020,18020
1550739158,18278,18278
1550747084,18493,18493
1550750169,18756,18756
1550761009,19169,19169
1550830098,19203,19203
1550857218,19835,19835
1550884838,19609,19609
1550976500,18931,18931
1551035331,17250,17250
1551127217,15157,15157
1551219114,12578,12578
1551222536,12952,12952
1551249140,12078,12078
1551263083,11953,11953
1551354779,9701,9701
1551382337,9300,9300
1551383293,9675,9675
1551387154,9995,9995
1551402017,10605,10605
1551407333,11060,11060
1551411169,11386,11386
1551480281,10817,10817
1551481218,11033,11033
1551488186,11388,11388
1551493238,11022,11022
1551497566,11306,11306
1551501166,11608,11608
1551504988,11836,11836
1551513621,12155,12155
1551518096,12368,12368
1551527785,12702,12702
1551531388,12901,12901
1551567371,13505,13505
1551568367,13803,13803
1551570731,14049,14049
1551575089,14383,14383
1551576502,14618,14618
1551578932,14852,14852
1551585387,14374,14374
1551588249,14561,14561
1551592336,14759,14759
1551661942,14754,14754
1551730345,15537,15537
1551810032,15497,15497
1551868833,13887,13887
1551896170,14409,14409
1551988817,14154,14154
1552078954,13008,13008
1552128493,11209,11209
1552187533,9121,9121
1552279474,7626,7626
1552284535,7972,7972
1552318361,8706,8706
1552344967,8465,8465
1552425372,8480,8480
1552427074,8796,8796
1552434514,9103,9103
1552440020,9434,9434
1552480810,9591,9591
1552497639,10123,10123
1552500524,10388,10388
1552504845,9902,9902
1552510606,10179,10179
1552530258,10737,10737
1552532920,10948,10948
1552536734,11010,11010
1552536989,11186,11186
1552540354,11423,11423
1552545634,11736,11736
1552548510,11955,11955
1552552106,12212,12212
1552555473,12421,12421
1552559795,12631,12631
1552563163,12827,12827
1552567231,13018,13018
1552588570,13433,13433
1552589553,13587,13587
1552592437,13752,13752
1552599159,13217,13217
1552602250,13370,13370
1552602651,13415,13415
1552606363,13602,13602
1552628169,14244,14244
1552638760,14609,14609
1552641643,14833,14833
1552645247,15065,15065
1552648130,15264,15264
1552651478,15430,15430
1552655323,15673,15673
1552659378,15863,15863
1552663484,16066,16066
1552666817,16269,16269
1552684127,15961,15961
1552690504,16211,16211
1552696831,16463,16463
1552700437,16667,16667
1552711453,16971,16971
1552733301,16767,16767
1552734255,16915,16915
1552737637,17111,17111
1552742204,17312,17312
1552745798,17505,17505
1552748937,17708,17708
1552751813,17888,17888
1552756124,18109,18109
1552760443,18311,18311
1552801697,18316,18316
1552804356,18449,18449
1552805069,18511,18511
1552821370,18655,18655
1552822090,18955,18955
1552826428,19156,19156
1552830996,19357,19357
1552835310,19553,19553
1552842513,19827,19827
1552845388,20000,20000
1552867232,20416,20416
1552873228,20637,20637
1552876831,20817,20817
1552894579,20365,20365
1552901562,20589,20589
1552909692,20817,20817
1552944496,20968,20968
1552978089,21011,21011
1552979084,21159,21159
1552981451,21334,21334
1552984351,21581,21581
1552987228,21810,21810
1552997783,22220,22220
1553006897,22495,22495
1553010269,22693,22693
1553014110,22865,22865
1553041697,22758,22758
1553048909,22399,22399
1553082252,23045,23045
1553083731,23173,23173
1553089231,23017,23017
1553094990,23220,23220
1553103393,23288,23288
1553194363,22662,22662
1553194574,20476,20476
1553200107,20511,20511
1553213336,19918,19918
1553217172,20105,20105
1553220044,20307,20307
1553222670,20480,20480
1553225560,20673,20673
1553236112,20708,20708
1553239206,20843,20843
1553247376,20911,20911
1553257939,20681,20681
1553261054,20600,20600
1553264414,20557,20557
1553271892,20179,20179
1553275226,20391,20391
1553288436,20729,20729
1553310507,20277,20277
1553316770,20108,20108
1553358621,19439,19439
1553367368,18856,18856
1553370272,19014,19014
1553374594,19226,19226
1553377210,19409,19409
1553381078,19591,19591
1553383959,19765,19765
1553388986,20000,20000
1553410834,19872,19872
1553413713,20038,20038
1553415639,20192,20192
1553418522,20367,20367
1553421150,20531,20531
1553424031,20729,20729
1553425975,20897,20897
1553427873,20821,20821
1553429531,20962,20962
1553431955,20877,20877
1553437717,20949,20949
1553440603,20815,20815
1553445739,20987,20987
1553449955,20913,20913
1553458123,20717,20717
1553462199,20890,20890
1553464861,21033,21033
1553507552,20292,20292
1553549303,19681,19681
1553554835,19885,19885
1553581711,20388,20388
1553586040,20202,20202
1553590844,20018,20018
1553595162,19896,19896
1553605729,20005,20005
1553610526,20199,20199
1553615317,20030,20030
1553619401,19698,19698
1553622999,19884,19884
1553627534,20090,20090
1553629962,20309,20309
1553632361,20482,20482
