DateTime,AddedIPs,RemovedIPs
1554003689,11,0
1554007354,10,2
1554010940,8,1
1554014525,10,2
1554018119,12,2
1554021752,13,1
1554025378,15,1
1554028986,12,4
1554032625,20,1
1554036276,10,0
1554039890,11,2
1554043504,16,2
1554047123,13,1
1554050725,11,3
1554054361,6,1
1554057996,18,2
1554061618,9,1
1554068838,10,4
1554072442,9,3
1554076047,3,0
1554079648,2,1
1554083249,1,0
1554086837,2,1
1554090473,11,1
1554094079,9,1
1554097675,13,6
1554101288,23,17
1554104937,33,1
1554108586,28,0
1554112224,26,2
1554115884,19,3
1554119512,25,2
1554123165,27,2
1554126779,25,13
1554130401,16,2
1554134024,24,1
1554137675,19,1
1554141313,26,3
1554144923,17,5
1554148536,14,1
1554152193,18,1
1554155781,12,2
1554159379,0,1
1554162978,4,1
1554166609,7,2
1554170206,5,1
1554173810,9,0
1554177422,11,1
1554181030,9,4
1554184650,18,4
1554188271,18,0
1554191933,33,3
1554195567,24,0
1554199220,28,1
1554206499,54,3
1554213728,35,3
1554220954,32,4
1554228205,23,3
1554235416,23,3
1554242685,75,3
1554249868,10,3
1554257091,10,4
1554264313,12,3
1554271545,28,5
1554278799,27,7
1554286043,27,6
1554293330,29,4
1554300543,33,2
1554307771,32,9
1554315040,30,10
1554322271,16,6
1554329468,15,4
1554336693,14,0
1554343920,9,1
1554351114,13,8
1554358360,54,11
1554365591,41,7
1554372852,30,6
1554380073,43,4
1554387317,40,6
1554394617,43,4
1554401815,28,15
1554409071,27,7
1554416292,29,17
1554423503,15,16
1554430694,9,12
1554437905,17,17
1554445111,28,32
1554459428,88,157
1554466665,65,50
1554473863,36,35
1554481050,35,26
1554487787,22,38
1554493407,18,30
1554496920,5,14
1554500512,3,10
1554504119,5,5
1554507768,3,5
1554511315,7,1
1554514900,4,4
1554518491,4,18
1554522126,4,98
1554525648,8,13
1554529234,5,20
1554536476,19,56
1554540004,9,18
1554543590,7,26
1554547173,8,19
1554550829,8,16
1554554367,5,20
1554557919,3,32
1554561521,2,18
1554565156,6,23
1554568696,7,19
1554572300,4,16
1554575902,1,15
1554579571,2,12
1554583080,3,10
1554586676,7,11
1554590272,1,8
1554593949,1,4
1554597471,0,4
1554601067,1,2
1554604662,0,6
1554608317,1,11
1554611824,2,11
1554615426,9,5
1554619018,16,12
1554622681,2,12
1554626212,7,13
1554629812,14,10
1554633409,6,9
1554637062,3,21
1554640590,1,9
1554644182,6,12
1554647771,6,12
1554651458,3,17
1554654962,1,12
1554658564,2,5
1554662145,3,15
1554665818,4,12
1554669332,6,6
1554672937,1,4
1554676541,1,10
1554680201,0,4
1554683730,2,2
1554687348,19,2
1554690938,4,3
1554694635,5,12
1554698139,1,5
1554701764,3,12
1554705301,3,20
1554712452,16,55
1554716033,8,27
1554719636,2,16
1554723320,5,23
1554726813,3,23
