DateTime,AddedIPs,RemovedIPs
1554317762,90,78
1554321613,105,96
1554323522,108,106
1554327362,84,110
1554331203,71,106
1554335043,87,98
1554338882,49,99
1554342721,78,78
1554344642,100,102
1554350413,84,104
1554352322,30,4213
1554354481,4189,0
1554356403,94,86
1554360242,80,65
1554364082,77,55
1554367922,83,68
1554371763,80,63
1554375629,66,67
1554377523,93,77
1554381362,71,70
1554385203,85,75
1554389043,81,57
1554392882,74,81
1554396722,91,73
1554398642,93,74
1554402722,14,5514
1554404642,5516,0
1554406562,96,99
1554410403,98,87
1554414243,88,120
1554418563,57,119
1554422416,77,109
1554424322,59,99
1554428402,91,77
1554432242,84,104
1554434163,89,103
1554439922,93,97
1554443763,95,82
1554445682,83,65
1554451442,70,71
1554453362,73,59
1554457202,64,64
1554461042,74,57
1554464882,79,74
1554466814,84,70
1554472562,79,113
1554474722,104,79
1554478802,67,67
1554482644,67,67
1554484562,169,123
1554486482,95,86
1554490322,78,88
1554494163,89,84
1554496083,107,75
1554499922,75,122
1554504962,95,124
1554508816,99,105
1554512642,64,78
1554514562,86,82
1554518402,74,105
1554522243,87,108
1554526082,78,100
1554531842,90,73
1554533762,72,48
1554537614,76,51
1554539522,89,72
1554543362,84,70
1554549122,91,76
1554551042,85,56
1554556805,105,85
1554558722,92,94
1554562562,74,78
1554566415,87,69
1554568322,87,66
1554572403,86,87
1554576243,87,84
1554580082,82,87
1554583922,79,78
1554587762,62,115
1554589683,61,97
1554595442,92,91
1554597362,40,74
1554601203,70,98
1554605042,73,103
1554608882,92,105
1554612721,79,82
1554616563,83,73
1554618483,79,53
1554622322,44,1576
1554624242,1538,0
1554626162,83,69
1554630002,94,65
1554633842,85,54
1554637682,83,70
1554641522,75,73
1554645362,83,101
1554647282,99,60
1554649209,60,99
1554651122,137,105
1554654962,86,59
1554660723,75,69
1554662643,87,86
1554666482,85,94
1554670562,100,98
1554674414,88,110
1554676322,69,105
1554680161,108,130
1554684003,55,104
1554687843,67,72
1554691682,81,95
1554695522,96,111
1554699363,77,85
1554701282,85,77
1554703214,499,377
1554705122,440,544
1554708962,62,67
1554712802,89,66
1554716645,89,72
1554720481,104,66
1554724563,85,70
1554726482,65,81
1554730322,101,77
1554734162,77,84
1554736322,81,77
1554742082,83,76
1554745922,119,72
1554749763,121,75
1554751682,76,107
1554755522,92,105
1554759362,80,117
1554765363,93,100
1554767282,86,130
1554771122,62,97
1554774962,75,67
1554776882,74,104
1554780722,94,108
1554784562,83,88
1554788642,89,79
1554792483,76,91
1554796323,104,69
1554800162,92,84
1554804008,80,53
1554805922,67,53
1554809762,82,74
1554813603,93,81
1554815522,77,69
1554821282,82,71
1554825122,74,86
1554828962,87,66
1554832823,103,60
1554834723,90,91
1554838562,92,89
1554842643,102,107
1554846482,91,113
1554850323,67,116
1554854162,83,112
1554858013,62,95
1554859922,78,87
1554864004,94,112
1554868082,93,106
1554871923,74,93
1554873842,99,76
1554879611,82,64
1554881522,78,67
1554885602,93,67
1554887522,69,53
1554893281,73,49
1554897122,74,68
1554900963,65,62
1554904811,74,72
1554909843,78,65
1554911762,80,77
1554915613,82,70
1554919682,174,136
1554925442,111,80
1554929282,92,104
1554933616,81,129
1554935522,76,126
1554939603,87,107
1554943442,62,97
1554947282,79,78
1554951121,91,116
1554953044,95,101
1554958814,85,88
1554960724,97,84
1554964562,77,74
1554968404,81,54
1554972243,88,68
1554974162,67,61
1554979923,72,66
1554983764,78,48
1554987623,77,78
1554991441,67,63
1554993362,90,85
1554996963,83,52
1555000803,81,80
1555004642,89,70
1555008482,89,100
1555012322,99,92
1555016163,108,82
1555018322,69,116
1555025282,72,126
1555027212,94,105
1555031042,61,91
1555032962,64,81
1555036803,73,98
1555040642,94,97
1555044482,81,79
1555048322,80,80
1555052162,83,61
1555056013,82,66
1555057922,98,70
1555061762,69,67
1555065605,78,63
1555069446,67,60
1555073282,74,72
1555077122,81,78
1555080963,69,72
1555084813,97,63
1555086963,93,74
1555090804,86,91
1555094642,83,79
1555098482,74,75
1555102322,79,81
1555106162,82,98
1555110482,61,93
1555112403,89,89
1555116243,53,86
1555120082,70,72
1555123922,69,98
1555127763,82,116
1555129683,92,74
1555133522,79,72
1555137602,75,52
1555141442,70,41
1555143362,41,70
1555145522,70,41
1555147443,77,54
1555149362,265,331
1555151283,353,286
1555153213,87,82
1555155122,83,67
1555157042,88,72
1555158962,72,88
1555160883,88,72
1555162802,81,79
1555166642,84,62
1555170482,75,74
1555174322,95,68
1555178163,77,71
1555182013,70,82
1555183922,87,77
1555185842,78,92
1555191602,72,203
1555193522,100,2
1555195442,65,103
1555199282,74,86
1555201203,46,99
1555206962,65,75
1555210813,69,89
1555212722,96,110
1555216563,80,101
1555220402,108,74
1555224243,74,47
1555228082,64,50
1555230002,85,46
1555235762,94,70
1555239610,93,76
1555241522,80,92
1555243442,73,58
1555245362,58,73
1555247283,73,58
1555251122,76,80
1555253042,93,59
1555258803,83,76
1555262642,89,69
1555266483,102,82
1555268409,95,79
1555270322,90,111
1555274162,89,89
1555276082,70,107
1555279923,71,135
1555285682,102,101
1555289522,44,98
1555293362,75,83
1555299122,150,192
1555302962,86,76
1555306802,95,80
1555310642,82,79
1555314482,86,61
1555318322,85,66
1555322415,65,64
1555324322,83,70
1555328162,94,71
1555332002,76,56
1555335842,96,80
1555339681,87,81
1555343522,99,83
1555349283,90,83
1555351215,108,90
1555353122,100,78
1555356962,90,82
1555358882,84,111
1555364642,80,117
1555369683,71,121
1555371602,91,97
1555375445,51,95
1555379522,73,84
1555383362,97,95
1555387212,102,118
1555389122,92,101
1555392962,79,79
1555396803,75,64
1555398722,83,68
1555404482,82,76
1555408322,72,60
1555412412,84,64
1555414322,71,72
1555418162,81,61
1555420083,88,72
1555425842,78,70
1555429682,83,79
1555431602,260,371
1555433522,407,271
1555435442,106,91
1555441213,94,86
1555445042,114,108
1555446963,113,113
1555450803,90,124
1555455123,77,127
1555458963,88,116
1555462813,62,91
1555464722,81,81
1555466642,64,107
1555472642,96,121
1555476482,81,86
1555480321,95,74
1555484162,68,58
1555488015,90,59
1555489922,76,72
1555493762,78,61
1555497602,73,61
1555501443,70,63
1555505282,63,77
1555507202,101,68
1555511042,84,68
1555516814,77,70
1555520642,82,85
1555522563,120,72
1555526401,72,120
1555528323,179,130
1555530242,87,77
1555536002,84,87
1555537922,76,111
1555540803,77,131
1555544642,80,118
1555548482,60,87
