DateTime,AddedIPs,RemovedIPs
1555133719,40,0
1555136118,1,0
1555136417,7,0
1555137019,40,0
1555137317,1,0
1555140319,4,0
1555140619,7,0
1555140918,41,0
1555143018,0,2
1555145718,53,0
1555149317,0,1
1555150218,59,0
1555150517,16,0
1555152019,3,0
1555155318,17,0
1555159520,216,0
1555159819,38,0
1555160118,9,0
1555161019,1,0
1555164618,28,0
1555165218,73,0
1555165821,7,0
1555167918,6,0
1555170018,16,0
1555172719,0,1
1555173618,2,0
1555174517,16,0
1555175120,1,1
1555181418,166,0
1555182318,2,0
1555186818,2,0
1555187717,1,0
1555188318,21,0
1555188617,4,0
1555189518,49,0
1555193118,1,0
1555194917,9,0
1555195218,15,0
1555195818,772,0
1555200618,3,0
1555201218,89,0
1555205717,3,0
1555209619,6,0
1555210219,4,0
1555213816,11,0
1555218618,1,0
1555219522,107,0
1555222817,1,0
1555224018,34,0
1555224318,13,1
1555229418,1,0
1555230018,53,0
1555231218,2,0
1555233919,1,0
1555234517,114,0
1555235417,1,0
1555236620,11,0
1555240218,14,0
1555243519,1,0
1555244119,98,0
1555244719,65,0
1555245317,10,0
1555245617,3,0
1555246517,4,0
1555248917,1,0
1555249819,2,0
1555250718,2,0
1555252818,1,0
1555256117,59,0
1555260917,33,0
1555261518,1,0
1555263618,1,0
1555265417,1,0
1555266317,3,0
1555266917,61,0
1555271717,33,0
1555275917,2,0
1555277118,13,0
1555280717,1,0
1555281317,36,0
1555285817,2,0
1555290918,0,1
1555291218,112,0
1555296916,54,0
1555298717,4,0
1555302019,17,0
1555302618,124,0
1555304418,1,0
1555305617,0,3
1555307418,74,0
1555307717,5,0
1555309219,1,0
1555311317,1,0
1555311919,27,0
1555314019,1,0
1555316417,0,1
1555319417,23,0
1555323919,88,0
1555324518,20,0
1555329318,1,0
1555329918,93,0
1555330518,0,1
1555332018,0,1
1555332919,0,1
1555335317,67,0
1555335619,101,0
1555335919,50,0
1555336518,4,0
1555337119,0,1
1555343419,25,0
1555344020,44,0
1555344318,0,1
1555349118,1,0
1555350019,1,0
1555350618,135,0
1555351519,18,0
1555354219,33,0
1555356318,0,1
1555357218,639,0
1555357519,233,0
1555357817,2,0
1555358718,0,5
1555359019,8,3
1555360219,0,1
1555360517,1,0
1555366817,2,0
1555367717,13,0
1555373119,1,0
1555374018,1,0
1555374917,11,0
1555376719,188,0
1555381217,2,0
1555383018,1,0
1555384218,1,0
1555385717,151,0
1555386919,1,0
1555387818,15,0
1555389019,31,0
1555395618,93,0
1555396818,0,1
1555397718,1,1
1555401018,1,1
1555401918,5,0
1555402818,28,0
1555403717,0,1
1555407318,74,0
1555410018,2,0
1555411819,84,0
1555418718,0,1
1555419919,84,0
1555420219,0,2
1555423220,34,0
1555423519,55,0
1555424418,1,0
1555425620,242,0
1555425919,88,0
1555426220,2,0
1555427119,2,0
1555429219,0,1
1555430117,0,1
1555431018,43,0
1555432819,198,0
1555435519,2,0
1555436419,11,0
1555438217,0,2
1555441518,0,1
1555442719,41,0
1555443318,1,0
1555446621,1,0
1555447218,44,0
1555449918,0,1
1555451422,1,0
1555452620,1,0
1555454717,16,0
1555455621,1,0
1555456818,1,0
1555458018,3,0
1555458318,0,1
1555459817,54,0
1555460718,1,0
1555464917,102,0
1555466117,74,0
1555471220,1,0
1555472418,121,0
1555473620,4,0
1555475423,45,1
1555475717,5,0
1555480219,1,0
1555480517,0,1
1555481119,166,0
1555481419,4,0
1555485019,1,0
1555485317,0,1
1555485618,39,0
1555486818,1,0
1555487417,1,0
1555491920,1,0
1555493119,1,0
1555493718,148,0
1555499119,6,0
1555500019,40,0
1555501520,0,1
1555504817,2,0
1555505419,30,0
1555506319,107,0
1555508120,417,0
1555508420,55,4
1555509019,0,4
1555509318,0,4
1555509622,37,5
1555509919,0,6
1555510220,0,7
1555510518,0,2
1555510819,0,5
1555511119,0,8
1555511719,0,10
1555512019,0,3
1555512321,0,5
1555512619,0,11
1555512918,0,5
1555513222,0,2
1555513518,0,4
1555514118,0,4
1555514420,1,9
1555514719,0,5
1555515020,0,3
1555515318,88,0
1555516821,2,0
1555519519,0,2
1555523718,67,0
1555525218,1,0
1555528818,72,0
1555534219,39,0
1555534517,17,0
1555540220,45,0
1555542618,0,1
1555544419,2,0
1555545018,33,0
1555549518,1,0
1555550418,44,0
1555553718,0,1
1555554619,0,1
1555554918,1,0
1555555819,80,0
1555558818,0,1
1555561219,68,0
1555561519,30,0
1555561819,0,2
1555562119,53,0
1555568118,1,0
1555568724,72,0
1555569618,11,0
1555575018,1,0
1555575919,4,0
1555576518,53,0
1555580418,1,0
1555580719,0,1
1555581020,9,0
1555581318,0,1
1555582218,152,0
1555586419,1,0
1555587319,6,0
1555588218,16,0
1555588519,85,0
1555593020,14,0
1555593619,0,1
1555594819,12,0
1555595718,0,1
1555596618,49,0
1555598118,11,0
1555599918,36,0
1555600819,0,1
1555604418,6,0
1555605619,80,0
1555609819,2,0
1555611018,19,0
1555614318,0,1
1555614919,59,0
1555615218,1,0
1555616418,65,0
1555617020,2,1
1555620618,1,0
1555622718,30,0
1555623619,0,2
1555626017,1,0
1555626917,5,0
1555630818,77,0
1555631419,16,0
1555632021,1,0
1555634119,1,0
1555635317,31,0
1555640719,4,0
1555641318,40,0
1555647619,3,0
1555648219,16,0
1555650319,53,0
1555653919,3,0
1555654517,0,1
1555654818,39,0
1555656019,21,0
1555659317,11,0
1555659619,22,0
1555663818,1,0
1555664718,18,0
1555668321,1,0
1555669519,29,0
1555670419,0,1
1555672820,1,0
1555673717,43,0
1555674018,79,0
1555677321,1,0
1555678519,0,1
1555679420,23,0
1555682117,89,0
1555683017,0,1
1555683619,1,0
1555684518,39,0
1555691118,100,0
1555695618,42,0
1555699819,6,0
1555700720,63,0
1555702518,38,0
1555704618,1,0
1555705220,4,0
1555707318,0,1
1555708819,22,0
1555710618,1,0
1555713317,2,0
1555714519,49,0
1555718118,2,0
1555718717,16,0
1555721718,149,0
1555722618,1,0
1555724419,70,0
1555730719,8,0
1555731317,26,0
1555736117,48,0
1555738519,8,0
1555738818,34,1
1555739420,13,0
1555743318,3,0
