DateTime,AddedIPs,RemovedIPs
1555398736,16,11
1555399123,660,664
1555399802,183,0
1555400652,15,9
1555401636,675,662
1555403402,187,0
1555403787,640,684
1555404516,15,25
1555406673,670,680
1555407002,195,0
1555408344,2,15
1555408840,668,0
1555410517,4,7
1555410602,149,0
1555411952,613,669
1555412435,13,9
1555414357,835,666
1555416256,17,21
1555416762,631,672
1555417802,162,0
1555418196,22,15
1555418927,600,0
1555420091,11,19
1555421402,188,0
1555422011,29,0
1555423931,23,7
1555425002,190,0
1555427773,18,25
1555428602,145,0
1555429689,22,0
1555432356,806,2789
1555433529,12,19
1555435704,692,610
1555435802,143,0
1555437366,20,17
1555439290,22,15
1555439402,162,0
1555440269,654,1321
1555441238,17,18
1555443161,829,709
1555445054,16,0
1555447005,802,1333
1555450368,780,0
1555452734,10,52
1555453238,660,645
1555455172,153,12
1555455857,640,0
1555456333,72,61
1555457076,18,21
1555458302,113,0
1555459932,669,1301
1555460893,13,14
1555461902,116,4499
1555462832,11,9
1555463533,663,638
1555464009,35,0
1555464758,14,16
1555465502,203,0
1555467851,20,26
1555468570,8,28
1555469102,213,0
1555469800,677,2024
1555470738,12,16
1555472657,8,21
1555472702,144,0
1555473158,657,624
1555474597,12,21
1555475537,672,674
1555476495,151,16
1555477959,641,655
1555478446,10,16
1555479627,632,673
1555479902,179,0
1555480352,19,13
1555482253,24,8
1555483502,196,0
1555484172,13,11
1555486256,20,17
1555487101,180,0
1555488267,14,15
1555490166,16,0
1555490701,206,0
1555492088,14,16
1555494302,246,0
1555495929,10,2
1555497866,25,3
1555497902,211,0
1555501502,187,0
1555505102,182,0
1555507450,25,81
1555508702,180,0
1555509388,15,24
1555511285,24,22
1555512302,165,0
1555513234,15,0
1555515136,23,15
1555515902,138,0
1555517321,14,23
1555519210,9,0
1555519502,117,0
1555521135,15,12
1555523070,16,0
1555523102,170,0
1555524972,9,20
1555526892,147,17
1555530302,164,0
1555530730,20,32
1555532649,16,17
1555533901,151,0
1555534587,20,8
1555536490,17,0
1555537502,110,0
1555540848,9,8
1555541102,111,0
1555542760,16,14
1555544702,142,0
1555545143,76,135
1555546574,16,20
1555548498,810,17599
1555548972,37,40
1555550435,14,14
1555551902,145,0
1555552334,18,18
1555553319,714,712
1555554270,20,0
1555555457,712,0
1555555502,129,0
1555556169,21,16
1555556648,26,45
1555559102,124,0
1555560031,8,30
1555561707,708,1450
1555561938,18,13
1555562701,176,0
1555563892,10,14
1555564592,711,1403
1555565774,22,9
1555566301,167,0
1555567732,754,739
1555569616,17,26
1555569883,707,0
1555569902,187,0
1555570821,504,0
1555571534,9,15
1555572510,693,0
1555573596,22,16
1555575394,948,0
1555575614,21,13
1555577102,225,0
1555577545,17,14
1555579449,11,17
1555579959,712,0
1555580702,249,0
1555581398,3,0
1555583313,10,14
1555584507,927,0
1555585261,13,22
1555587149,13,0
1555587858,686,0
1555587902,181,0
1555589068,17,0
1555590738,690,0
1555590969,11,0
1555591502,289,0
1555592922,7,0
1555594353,655,0
1555595102,214,0
1555596761,668,30
1555598660,19,22
1555598702,237,0
1555600595,693,12
1555602516,186,19
1555603940,666,0
1555604436,11,11
1555605902,184,0
1555606334,9,7
1555607314,656,0
1555608290,11,13
1555609502,172,0
1555610171,11,9
1555610460,669,0
1555612092,9,9
1555613313,770,0
1555615942,13,18
1555616443,668,0
1555616702,138,0
1555617879,15,20
1555619776,9,15
1555620302,149,0
1555620757,635,0
1555621948,10,20
1555623856,6,12
1555623902,111,0
1555624357,658,0
1555626530,13,0
1555627502,105,0
1555628441,638,7
1555630345,82,13
1555631102,93,0
1555632279,10,0
1555633468,659,0
1555634195,42,51
1555634702,89,4039
1555636089,10,15
1555637798,624,639
1555638279,15,15
1555638302,140,0
1555640193,7,17
1555642103,166,15
1555644012,11,26
1555645979,110,0
1555647853,22,7
1555649102,97,0
1555649795,12,13
1555651691,14,7
1555652702,144,0
1555656501,156,58
1555658427,13,8
1555659902,166,0
1555660331,669,5067
1555662250,6,13
1555663502,189,0
1555664167,13,13
1555665389,697,657
1555666112,3,11
1555667102,159,0
1555668022,3,2
1555669002,689,674
1555669945,4,13
1555670702,173,0
1555671888,2,11
1555673770,10,5
1555674027,663,664
1555674302,178,0
1555675695,13,12
1555677630,695,1315
1555677901,132,0
1555679532,23,19
1555682687,219,0
1555683377,697,1317
1555684597,13,18
1555686002,137,0
1555686768,710,19
1555688677,15,7
1555689603,136,0
1555690573,10,17
1555692494,17,9
1555693000,651,1348
1555693202,134,0
1555694433,8,6
1555696354,9,11
1555696802,174,0
1555698251,14,12
1555700174,15,8
1555700402,186,0
1555702108,12,0
1555702846,686,2626
1555704029,13,11
1555705935,160,14
1555707886,148,6
1555709777,13,8
1555711202,147,0
1555711942,7,3
1555713853,12,8
1555715051,220,74
1555715794,13,9
1555717691,11,10
1555718402,100,4344
1555719608,19,10
1555722002,168,0
1555722733,17,72
1555725387,13,28
1555725603,162,0
1555726570,27,24
1555727287,12,7
1555729221,19,12
1555733320,339,21
1555736401,181,0
1555739073,23,44
1555740002,203,0
1555740977,20,0
1555742893,13,0
1555743602,190,0
1555744837,18,22
1555746752,21,11
1555747202,175,0
1555748656,20,8
1555750573,13,9
1555750802,211,0
1555752511,10,0
1555754444,6,9
1555756357,183,3
1555758256,190,0
1555760193,9,16
1555761602,158,0
1555762097,5,10
1555764021,13,0
1555765202,149,0
1555765956,14,20
1555767850,19,0
1555768802,220,0
1555769774,14,12
1555771712,18,18
1555772402,155,0
1555773608,9,20
1555775549,13,12
1555776002,160,0
1555777450,15,9
1555779367,11,17
1555779602,139,0
1555781312,18,9
1555783239,19,9
1555785165,169,10
1555787057,130,8
1555788971,8,10
1555790920,153,13
1555794002,126,0
1555794509,692,9941
1555794753,11,15
1555795455,612,0
1555796650,7,10
1555797875,865,0
1555798838,6,5
1555801021,801,49
1555801202,127,0
1555802900,11,11
1555804901,36,64
1555806740,119,4075
1555808662,199,0
1555810570,15,0
1555811300,725,0
1555812002,117,0
1555812760,8,36
1555814673,12,11
1555815602,133,0
1555816599,16,12
1555817291,750,0
1555818517,17,0
1555819202,156,0
1555820436,11,11
1555822344,7,0
1555822594,701,0
1555822802,146,0
1555824257,16,0
1555826186,14,16
1555826402,131,0
1555828093,19,13
1555830032,23,10
1555831963,131,17
1555833858,147,15
1555835694,12,19
1555836272,731,0
1555837202,138,0
1555837712,4,13
1555839610,6,8
1555840803,236,0
1555841536,12,5
1555843455,22,15
1555844402,134,0
1555845388,15,10
1555847050,738,0
1555847557,13,7
1555848002,138,0
1555849451,16,5
1555850436,701,0
1555851602,132,0
1555853309,16,20
1555854040,726,0
1555855215,25,13
1555856918,819,0
1555857380,10,11
1555858802,126,0
1555859306,15,18
1555861214,20,7
1555862402,132,0
1555863137,17,7
1555863636,680,0
1555865052,20,19
1555866002,103,0
1555868892,25,28
1555869603,101,0
1555870808,18,17
1555872753,22,17
1555873203,104,0
1555874656,21,8
1555876568,17,4
1555876802,135,0
1555878512,14,13
1555880435,6,0
1555882346,112,9
1555884272,128,9
1555886170,10,4
1555887602,99,0
1555888097,15,4
1555889767,37,38
1555890030,10,8
1555890763,666,2538
1555891202,98,4004
1555891955,16,11
1555893606,11,41
1555893853,17,10
1555894802,169,0
1555895774,16,12
1555897713,23,14
1555898402,154,0
1555899620,14,6
1555901285,5,7
1555901535,12,12
1555902001,121,0
1555903471,15,16
1555905371,9,14
1555905602,169,0
1555907291,12,10
1555909237,12,7
1555911155,166,16
1555913054,164,20
1555914969,16,17
1555916402,165,0
1555916915,22,21
1555918828,19,14
1555920002,160,0
1555920734,9,11
1555922651,21,12
1555923602,194,0
1555924589,8,8
1555926490,12,8
1555927202,191,0
1555928412,16,7
1555930348,15,23
1555930802,179,0
1555932018,694,2820
1555932515,18,16
1555934402,172,0
1555936361,16,32
1555938272,184,0
1555940169,7,13
1555941602,185,0
1555942106,14,24
1555944009,8,10
1555945202,160,0
1555945950,12,14
1555947850,16,22
1555948802,138,0
1555949774,19,17
1555951691,20,22
1555952402,141,0
1555953627,16,0
1555955547,17,26
1555956002,133,0
1555957457,19,18
1555959394,18,22
1555959602,135,0
1555961292,25,19
1555963227,9,13
1555965156,161,13
1555965374,499,2443
1555965868,221,1188
1555967055,215,7
1555968968,9,8
1555970402,170,0
1555970910,16,10
1555972826,11,5
1555974002,146,0
1555974743,98,23
1555976696,769,10
1555977602,174,3393
1555978828,11,16
1555980261,709,745
1555980759,13,15
1555981202,218,0
1555982657,47,52
1555984346,733,0
1555984831,24,18
1555986485,258,0
1555986761,15,13
1555988664,199,12
1555990358,721,0
1555990813,12,15
1555992002,152,0
1555992764,15,8
1555994194,693,0
1555994653,17,13
1555995602,178,0
1555996576,20,10
1555998496,15,13
1555998749,759,0
1555999202,191,0
1556000441,23,16
1556001626,736,0
1556002353,18,19
1556002803,182,0
1556004255,16,22
1556005229,691,0
1556006402,211,0
1556008123,742,21
1556010027,20,13
1556010746,911,0
1556011957,7,9
1556013388,691,0
1556013853,232,13
