DateTime,AddedIPs,RemovedIPs
1555665722,6,0
1555667043,74,120
1555667522,5,0
1555668199,3,1
1555669923,2,0
1555670523,6,0
1555670882,76,0
1555671740,1,0
1555672803,0,76
1555672922,5,0
1555674723,164,47
1555675399,0,3
1555676522,6,0
1555677122,7,0
1555677723,0,1
1555678562,63,22
1555678923,1,0
1555679524,0,1
1555680484,66,117
1555680724,1,0
1555682643,79,16
1555683723,2,0
1555684323,1,0
1555686199,5,1
1555686725,3,103
1555687323,19,0
1555688642,93,0
1555689122,9,0
1555690923,1,0
1555692124,1,0
1555692483,77,142
1555692723,6,0
1555693341,8,3
1555694522,5,0
1555695723,5,0
1555696323,95,0
1555697001,4,2
1555697553,1348,222
1555698242,82,16
1555699322,2,0
1555700163,16,78
1555700523,5,0
1555701123,1,0
1555701723,1,0
1555702083,78,146
1555702323,2,0
1555702923,3,0
1555704007,69,0
1555704199,0,2
1555705322,18,0
1555705922,70,17
1555706882,17,64
1555707723,3,0
1555708324,1,3
1555708923,3,0
1555709763,58,16
1555710723,4,0
1555711323,2,0
1555711923,4,2
1555712643,0,152
1555713123,1,0
1555713842,62,0
1555714323,3,0
1555715000,3,0
1555716123,5,0
1555716723,6,0
1555717322,1,0
1555717682,84,13
1555718601,12,2
1555719362,0,159
1555719722,22,0
1555720922,0,1
1555721522,49,0
1555722123,1,0
1555722723,1,0
1555723323,1,0
1555724523,1,0
1555725123,64,64
1555725362,0,68
1555725724,1,0
1555725800,0,2
1555726923,1,0
1555727523,1,0
1555728122,1,0
1555728723,1,0
1555729211,79,0
1555729323,2,0
1555729400,0,1
1555731722,1,0
1555732322,6,0
1555733282,78,7
1555733523,4,0
1555734004,0,200
1555734122,4,0
1555735202,74,0
1555735323,2,0
1555736523,1,0
1555737122,2,0
1555737842,3,88
1555738322,2,0
1555739042,89,0
1555740122,2,1
1555740201,0,1
1555740963,55,7
1555741324,7,0
1555743621,0,115
1555743723,2,0
1555743801,0,1
1555744324,3,0
1555744922,1,0
1555746123,1,1
1555746722,70,0
1555747443,13,56
1555747922,0,1
1555748522,8,0
1555749723,2,0
1555750563,97,0
1555751000,3,2
1555752123,4,0
1555752483,50,20
1555752723,2,0
1555753203,20,57
1555753322,1,0
1555753922,7,0
1555754412,0,55
1555754601,2,8
1555755123,6,0
1555756323,119,0
1555756923,1,0
1555758201,1,3
1555758723,1,0
1555759205,0,112
1555759324,4,0
1555760162,91,0
1555761123,1,0
1555761723,1,0
1555762081,404,67
1555762923,1,0
1555763523,4,0
1555764002,111,391
1555764722,3,0
1555764964,22,59
1555765341,1,2
1555766522,3,0
1555767123,64,63
1555767843,1,67
1555768323,9,0
1555768941,2,2
1555770122,2,0
1555771324,6,0
1555771681,81,0
1555772601,1,2
1555773123,3,0
1555773602,69,15
1555774323,0,2
1555774922,6,0
1555776122,5,0
1555776141,1,2
1555776965,0,91
1555777443,65,0
1555778523,2,0
1555779123,2,0
1555779363,93,56
1555779722,1,0
1555780802,0,79
1555782122,7,0
1555783214,78,0
1555783341,1,0
1555784670,1335,326
1555785123,81,0
1555785722,2,0
1555786322,2,0
1555787000,15,1
1555787522,1,0
1555788483,84,71
1555788962,0,71
1555790601,1,2
1555791724,3,0
1555792802,60,0
1555792923,1,0
1555793523,1,0
1555794123,2,0
1555795923,1,0
1555796642,78,12
1555797801,1,0
1555798324,1,133
1555798923,1,0
1555800963,60,0
1555801923,2,0
1555803723,2,0
1555804826,73,204
1555804941,3,0
1555805523,2,0
1555806123,1,0
1555806721,57,0
1555807322,0,2
1555808601,1,1
1555810562,60,15
1555810922,1,0
1555811523,6,0
1555812123,3,0
1555812724,4,140
1555813323,3,0
1555814645,77,0
1555815123,2,0
1555815722,1,0
1555815801,0,2
1555816563,89,10
1555817523,3,0
1555818122,12,0
1555818481,10,89
1555819323,1,0
1555819401,5,3
1555820404,84,200
1555820522,3,1
1555821123,2,0
1555821724,1,0
1555822322,64,0
1555823001,3,3
1555826162,82,17
1555826522,8,0
1555827122,5,0
1555827723,7,0
1555828084,54,123
1555828323,9,0
1555829523,44,0
1555830122,1,0
1555830722,5,0
1555830814,1,0
1555831323,17,0
1555831924,64,104
1555833123,1,0
1555833802,3,0
1555834923,3,0
1555836005,82,0
1555836122,1,0
1555837323,2,0
1555837401,0,2
1555837924,0,58
1555838522,2,0
1555839843,76,0
1555840922,1,0
1555841002,0,1
1555842122,1,0
1555842723,1,0
1555843323,1,0
1555843682,68,17
1555844602,0,2
1555845123,2,0
1555845843,68,92
1555846923,4,0
1555848202,0,1
1555849323,4,0
1555849684,0,71
1555850523,5,0
1555851611,64,0
1555851801,5,1
1555852923,3,0
1555853523,42,22
1555854122,1,0
1555855443,108,87
1555857123,3,0
1555858323,4,0
1555858923,22,0
1555859282,0,64
1555859523,11,0
1555860123,27,0
1555861202,58,0
1555861322,1,0
1555861923,4,0
1555862523,20,0
1555863122,0,58
1555863722,5,0
1555865044,141,59
1555866123,3,0
1555866963,64,21
1555867322,1,0
1555867923,1,0
1555868883,21,141
1555869723,13,0
1555869801,2,0
1555870323,6,0
1555870802,139,0
1555870923,1,0
1555871790,1444,271
1555872723,22,62
1555873323,2,0
1555873403,0,1
1555874644,67,17
1555875123,1,0
1555875722,14,0
1555876562,0,127
1555876924,2,0
1555877002,0,1
1555877523,2,0
1555878123,5,0
1555879324,3,0
1555880406,78,0
1555880601,0,1
1555881123,1,0
1555881723,6,0
1555882322,60,19
1555882923,1,0
1555883282,0,148
1555883523,2,0
1555885323,2,0
1555886524,1,0
1555887123,2,0
1555887723,2,1
1555888083,59,1
1555888922,3,0
1555890003,84,13
1555890123,2,0
1555890723,2,0
1555891342,15,1
1555891923,2,0
1555892403,0,177
1555892523,1,0
1555893842,69,0
1555894323,1,0
1555894942,0,1
1555895571,1,0
1555896122,1,0
1555897323,14,0
1555897682,57,13
