DateTime,AddedIPs,RemovedIPs
1555507323,19,0
1555507923,2,0
1555508523,19,0
1555509722,13,0
1555510923,36,0
1555512124,3,0
1555513323,3,0
1555513923,2,0
1555514522,13,0
1555515723,3,0
1555516923,13,0
1555517522,20,0
1555518123,3,0
1555518723,4,0
1555519323,22,0
1555521723,2,0
1555522325,2,0
1555522923,4,0
1555523309,11796,1833
1555524123,2,0
1555524723,1,0
1555525323,8,0
1555526523,13,0
1555531322,1,0
1555532522,16,0
1555533723,3,0
1555534923,4,0
1555536123,11,0
1555537323,1,1
1555537922,1,0
1555538524,1,0
1555540322,2,0
1555540923,2,0
1555542122,2,0
1555542723,7,0
1555543323,2,0
1555544523,15,0
1555545853,7,0
1555546923,4,0
1555548723,5,0
1555549324,1,0
1555550523,3,0
1555551123,3,0
1555551722,7,0
1555552923,1,0
1555553523,2,0
1555554123,1,0
1555555924,3,0
1555556523,1,0
1555557723,14,0
1555558324,3,0
1555561323,1,0
1555562522,3,0
1555563724,3,0
1555564323,33,0
1555564923,3,0
1555568523,1,0
1555569123,2,0
1555569723,10,0
1555570323,1,0
1555572123,2,0
1555572723,2,0
1555573323,1,0
1555573923,1,0
1555574523,6,0
1555575124,1,0
1555575723,2,0
1555576923,5,0
1555578123,1,0
1555579324,1,0
1555579923,1,0
1555580523,1,0
1555581723,3,0
1555584122,2,1
1555585322,1,0
1555585923,1,0
1555586523,11,0
1555588924,31,0
1555590122,0,1
1555591323,1,0
1555592522,3,0
1555593122,11,0
1555594923,2,0
1555596123,4,0
1555598523,1,0
1555600323,35,0
1555600922,14,0
1555602123,6,0
1555603922,2,0
1555606322,7,0
1555606923,3,0
1555607523,5,1
1555608722,1,0
1555609323,3,0
1555610455,1853,272
1555610522,4,0
1555611123,3,0
1555611723,0,1
1555612322,10,0
1555612923,6,0
1555613522,2,0
1555614123,5,0
1555614723,4,0
1555615323,1,0
1555615923,2,0
1555616523,3,0
1555617123,3,0
1555617723,2,0
1555620123,10,0
1555621323,2,0
1555622523,4,0
1555624322,20,0
1555626123,2,0
1555627323,1,0
1555628523,9,0
1555629124,1,0
1555630922,1,0
1555633323,1,0
1555634523,7,0
1555635723,11,0
1555636923,3,0
1555638124,17,0
1555640523,3,0
1555641722,5,0
1555642322,4,0
1555642923,1,0
1555643523,9,0
1555644123,3,0
1555645323,4,0
1555645923,6,0
1555646524,2,0
1555647723,11,0
1555650123,2,0
1555651323,2,0
1555651923,0,1
1555652522,5,0
1555653122,9,0
1555653723,3,0
1555654322,1,0
1555654923,5,0
1555655523,4,0
1555657323,6,0
1555660923,9,0
1555661524,4,0
1555662123,9,0
1555663323,4,0
1555665722,6,0
1555666922,4,0
1555667522,5,0
1555668123,3,0
1555669923,2,0
1555670523,6,0
1555671723,1,0
1555672922,5,0
1555674723,2,0
1555676522,6,0
1555677122,7,0
1555677723,0,1
1555678923,1,0
1555679524,0,1
1555680724,1,0
1555683723,2,0
1555684323,1,0
1555686123,5,0
1555686725,3,0
1555687323,19,0
1555688522,6,0
1555689122,9,0
1555690923,1,0
1555692124,1,0
1555692723,6,0
1555693323,8,0
1555694522,5,0
1555695723,5,0
1555696323,7,0
1555696923,4,0
1555697553,1348,224
1555698123,4,0
1555699322,2,0
1555700523,5,0
1555701123,1,0
1555701723,1,0
1555702323,2,0
1555702923,3,0
1555705322,18,0
1555705922,3,0
1555707723,3,0
1555708324,1,0
1555708923,3,0
1555710723,4,0
1555711323,2,0
1555711923,4,0
1555713123,1,0
1555713723,2,0
1555714323,3,0
1555714923,3,0
1555716123,5,0
1555716723,6,0
1555717322,1,0
1555718524,12,0
1555719722,22,0
1555720922,0,1
1555722123,1,0
1555722723,1,0
1555723323,1,0
1555724523,1,0
1555725123,2,0
1555725724,1,0
1555726923,1,0
1555727523,1,0
1555728122,1,0
1555728723,1,0
1555729323,2,0
1555731722,1,0
1555732322,6,0
1555733523,4,0
1555734122,4,0
1555735323,2,0
1555736523,1,0
1555737122,2,0
1555737723,3,0
1555738322,2,0
1555738922,2,0
1555740122,2,1
1555741324,7,0
1555743723,2,0
1555744324,3,0
1555744922,1,0
1555746123,1,1
1555746722,5,0
1555747323,13,0
1555748522,8,0
1555749723,2,0
1555750924,2,0
1555752123,4,0
1555752723,2,0
1555753322,1,0
1555753922,7,0
1555755123,6,0
1555756323,1,0
1555756923,1,0
1555758123,1,0
1555758723,1,0
1555759324,4,0
1555759923,8,0
1555761123,1,0
1555761723,1,0
1555762923,1,0
1555763523,4,0
1555764722,3,0
1555765323,1,1
1555766522,3,0
1555767122,3,0
1555767723,1,0
1555768323,9,0
1555768923,2,0
1555770122,2,0
1555771324,6,0
1555772524,1,0
1555773123,3,0
1555774323,0,2
1555774922,6,0
1555776122,5,0
1555778523,2,0
1555779123,2,0
1555779722,1,0
1555782122,7,0
1555783323,1,0
1555784670,1336,247
1555785122,2,0
1555785722,2,0
1555786322,2,0
1555786923,15,0
1555787522,1,0
1555790523,1,0
1555791724,3,0
1555792923,1,0
1555793523,1,0
1555794123,2,0
1555795923,1,0
1555796523,1,0
1555797723,1,0
1555798323,1,0
1555798923,1,0
1555800722,2,0
1555801923,2,0
1555803723,2,0
1555804926,3,0
1555805523,2,0
1555806123,1,0
1555807322,0,2
1555810922,1,0
1555811523,6,0
1555812123,3,0
1555812723,3,0
1555813323,3,0
1555815123,2,0
1555815722,1,0
1555817523,3,0
1555818122,12,0
1555819323,1,0
1555820522,3,1
1555821123,2,0
1555821724,1,0
1555822924,3,0
1555826522,8,0
1555827122,5,0
1555827723,7,0
1555828323,9,0
1555829523,44,0
1555830122,1,0
1555830722,5,0
1555831323,17,0
1555831923,1,0
1555833123,1,0
1555833723,3,0
1555834923,3,0
1555836122,1,0
1555837323,2,0
1555838522,2,0
1555839723,2,0
1555840922,1,0
1555842122,1,0
1555842723,1,0
1555843323,1,0
1555844522,0,1
1555845123,2,0
1555845723,5,0
