DateTime,AddedIPs,RemovedIPs
1555594923,4,21
1555595522,1,5
1555596123,6,6
1555598523,4,7
1555599723,4,5
1555600323,41,1
1555600922,47,0
1555601523,1,2
1555602123,6,61
1555603323,2,19
1555603922,1,0
1555604523,1,3
1555605723,2,13
1555606322,13,0
1555606923,5,0
1555607523,20,2
1555608123,2,2
1555608722,2,0
1555609323,10,0
1555610522,7,12
1555611123,7,5
1555611723,1,7
1555612923,2,4
1555614123,4,6
1555614723,9,4
1555615323,0,6
1555615923,2,4
1555616523,8,5
1555617123,5,0
1555617723,5,2
1555620123,24,3
1555621323,4,0
1555621925,1,9
1555622523,6,4
1555623123,3,0
1555623722,1,3
1555624322,32,9
1555626123,4,11
1555626723,2,0
1555627323,4,0
1555628523,11,10
1555629124,7,0
1555629724,1,0
1555630323,3,4
1555630922,3,0
1555632124,5,7
1555633323,2,0
1555633923,0,3
1555634523,2,4
1555635123,3,2
1555635723,5,0
1555636923,6,6
1555638124,40,16
1555640523,3,13
1555641722,10,9
1555642322,5,0
1555642923,3,3
1555644123,4,13
1555645323,7,5
1555645923,8,0
1555646524,5,0
1555647723,12,10
1555650123,4,16
1555651323,3,11
1555651923,2,3
1555652522,2,8
1555653723,1,0
1555654923,6,10
1555655523,9,0
1555657323,8,5
1555658523,2,8
1555659722,0,10
1555660923,7,2
1555661524,7,0
1555662123,13,4
1555663323,9,4
1555664523,4,5
1555665722,4,0
1555666323,0,5
1555666922,5,0
1555667522,4,5
1555668123,6,3
1555669323,2,9
1555669923,3,3
1555670523,10,4
1555671723,4,0
1555672922,8,14
1555674723,4,6
1555675922,1,2
1555676522,7,6
1555677122,9,0
1555677723,1,7
1555678923,1,0
1555679524,1,5
1555680122,0,2
1555680724,1,0
1555682523,0,4
1555683123,1,0
1555683723,3,0
1555684323,2,12
1555684922,3,0
1555686123,7,9
1555686725,5,5
1555687323,6,2
1555688522,28,44
1555689122,28,1
1555689723,1,11
1555690923,1,11
1555692124,2,3
1555692723,8,5
1555693323,9,5
1555694522,8,9
1555695723,6,5
1555696923,6,0
1555697523,5,5
1555698123,5,2
1555698723,2,8
1555699322,4,3
1555700523,19,3
1555701123,2,1
1555701723,2,3
1555702323,5,0
1555702923,2,6
1555704123,1,1
1555705322,3,5
1555705922,7,3
1555706524,1,4
1555707723,4,0
1555708324,2,8
1555708923,4,5
1555710123,1,14
1555710723,6,2
1555711323,5,2
1555711923,4,2
1555712522,1,0
1555713123,5,1
1555713723,1,7
1555714323,3,0
1555714923,5,2
1555716123,7,3
1555716723,10,3
1555717322,1,2
1555718524,40,10
1555719722,24,5
1555720922,0,5
1555722123,5,8
1555722723,4,2
1555723323,3,3
1555724523,4,2
1555725123,4,20
1555725724,1,0
1555726323,0,3
1555726923,1,7
1555727523,3,6
1555728122,1,4
1555728723,4,0
1555729323,5,5
1555729924,2,0
1555730522,2,2
1555731722,3,8
1555732322,2,0
1555732923,1,6
1555733523,7,2
1555734122,9,0
1555735323,3,11
1555736523,3,0
1555737122,4,5
1555737723,4,2
1555738322,2,0
1555738922,3,4
1555740122,5,0
1555741324,2,3
1555742523,0,9
1555743723,1,3
1555744324,4,1
1555744922,1,0
1555746123,1,20
1555746722,6,0
1555747323,35,0
1555748522,31,12
1555749122,2,2
1555749723,1,1
1555750924,2,0
1555752123,6,0
1555752723,3,2
1555753322,1,7
1555753922,13,6
1555754523,0,3
1555755123,10,0
1555755723,0,11
1555756323,2,0
1555756923,2,0
1555758123,1,11
1555758723,2,0
1555759324,5,0
1555759923,10,3
1555760522,2,6
1555761123,3,0
1555761723,1,0
1555762923,3,2
1555763523,10,2
1555764123,2,0
1555764722,4,5
1555765323,2,1
1555766522,5,3
1555767122,3,0
1555767723,1,6
1555768323,12,3
1555768923,3,1
1555769523,2,0
1555770122,3,1
1555771324,24,4
1555771923,0,4
1555773723,1,7
1555774323,1,50
1555774922,9,12
1555776122,0,14
1555777323,0,8
1555778523,4,4
1555779123,2,7
1555779722,0,5
1555780923,2,4
1555781523,4,9
1555782122,5,4
1555783323,3,1
1555784523,1,4
1555785122,4,0
1555785722,2,0
1555786322,3,10
1555786923,45,5
1555787522,2,3
1555788123,3,0
1555789323,2,10
1555790523,3,6
1555792323,1,9
1555792923,5,0
1555793523,2,12
1555794123,4,0
1555795323,0,13
1555795923,1,5
1555796523,4,0
1555797723,1,10
1555798323,3,0
1555798923,2,0
1555800722,6,17
1555801923,4,10
1555803123,3,4
1555803723,3,5
1555804926,0,2
1555805523,4,5
1555806123,1,3
1555807322,1,4
1555808523,0,6
1555809723,0,1
1555810323,0,5
1555810922,4,0
1555811523,6,1
1555812123,3,0
1555812723,5,2
1555813323,2,0
1555813922,1,5
1555814522,1,2
1555815123,3,0
1555815722,1,4
1555816923,0,2
1555817523,1,0
1555818122,13,4
1555818723,1,0
1555819323,1,0
1555820522,5,3
1555821123,5,11
1555821724,1,0
1555822322,0,10
1555822924,6,0
1555823524,2,7
1555824123,0,2
1555825323,3,3
1555826522,4,0
1555827122,10,0
