DateTime,AddedIPs,RemovedIPs
1555608123,80,80
1555608722,80,80
1555609323,80,80
1555610522,80,80
1555611123,80,80
1555611723,80,80
1555612923,80,80
1555614123,80,80
1555614723,80,80
1555615323,80,80
1555615923,80,80
1555616523,80,80
1555617123,80,80
1555617723,80,80
1555618923,80,80
1555620123,80,80
1555621323,77,77
1555621925,80,80
1555622523,80,80
1555623123,80,80
1555623722,80,80
1555624322,80,80
1555626123,80,80
1555626723,80,80
1555627323,80,80
1555628523,80,80
1555629124,80,80
1555629724,80,80
1555630323,80,80
1555630922,80,80
1555632124,80,80
1555633323,80,80
1555633923,80,80
1555634523,80,80
1555635123,80,80
1555635723,80,80
1555636923,80,80
1555638124,80,80
1555639323,80,80
1555640523,80,80
1555641722,80,80
1555642322,80,80
1555642923,80,80
1555644123,80,80
1555645323,80,80
1555645923,80,80
1555646524,80,80
1555647723,80,80
1555648923,80,80
1555650123,80,80
1555651323,80,80
1555651923,80,80
1555652522,80,80
1555653723,80,80
1555654923,80,80
1555655523,80,80
1555656122,80,80
1555657323,80,80
1555658523,80,80
1555659722,80,80
1555660923,80,80
1555661524,80,80
1555662123,80,80
1555663323,80,80
1555664523,80,80
1555665722,80,80
1555666323,80,80
1555666922,80,80
1555667522,80,80
1555668123,80,80
1555669323,80,80
1555669923,80,80
1555670523,80,80
1555671723,80,80
1555672922,80,80
1555674122,80,80
1555674723,80,80
1555675324,80,80
1555675922,80,80
1555676522,80,80
1555677122,80,80
1555677723,80,80
1555678923,80,80
1555679524,80,80
1555680122,80,80
1555680724,80,80
1555682523,80,80
1555683123,80,80
1555683723,80,80
1555684323,80,80
1555684922,80,80
1555686123,80,80
1555686725,80,80
1555687323,80,80
1555688522,80,80
1555689122,80,80
1555689723,80,80
1555690923,80,80
1555692124,80,80
1555692723,76,76
1555693323,80,80
1555694522,80,80
1555695723,80,80
1555696923,80,80
1555697523,80,80
1555698123,80,80
1555698723,80,80
1555699322,80,80
1555700523,79,79
1555701123,80,80
1555701723,80,80
1555702323,80,80
1555702923,80,80
1555704123,80,80
1555705322,80,80
1555705922,80,80
1555706524,80,80
1555707723,80,80
1555708324,80,80
1555708923,80,80
1555710123,80,80
1555710723,80,80
1555711323,80,80
1555711923,80,80
1555712522,80,80
1555713123,80,80
1555713723,80,80
1555714323,80,80
1555714923,80,80
1555716123,79,79
1555716723,80,80
1555717322,80,80
1555718524,80,80
1555719722,79,79
1555720922,80,80
1555722123,80,80
1555722723,80,80
1555723323,80,80
1555724523,80,80
1555725123,80,80
1555725724,80,80
1555726323,80,80
1555726923,80,80
1555727523,80,80
1555728122,80,80
1555728723,80,80
1555729323,80,80
1555729924,80,80
1555730522,80,80
1555731722,80,80
1555732322,80,80
1555732923,80,80
1555733523,77,77
1555734122,80,80
1555735323,80,80
1555736523,80,80
1555737122,80,80
1555737723,80,80
1555738322,80,80
1555738922,80,80
1555740122,80,80
1555741324,80,80
1555742523,80,80
1555743723,76,76
1555744324,80,80
1555744922,80,80
1555746123,80,80
1555746722,79,79
1555747323,80,80
1555748522,80,80
1555749122,80,80
1555749723,80,80
1555750924,79,79
1555752123,80,80
1555752723,80,80
1555753322,80,80
1555753922,80,80
1555754523,80,80
1555755123,80,80
1555755723,80,80
1555756323,80,80
1555756923,80,80
1555758123,80,80
1555758723,80,80
1555759324,80,80
1555759923,80,80
1555760522,80,80
1555761123,80,80
1555761723,80,80
1555762923,80,80
1555763523,80,80
1555764123,80,80
1555764722,80,80
1555765323,80,80
1555766522,80,80
1555767122,80,80
1555767723,80,80
1555768323,80,80
1555768923,79,79
1555769523,80,80
1555770122,80,80
1555771324,80,80
1555771923,80,80
1555772524,80,80
1555773723,80,80
1555774323,80,80
1555774922,80,80
1555776122,80,80
1555777323,80,80
1555778523,80,80
1555779123,80,80
1555779722,80,80
1555780923,80,80
1555781523,80,80
1555782122,80,80
1555783323,80,80
1555784523,80,80
1555785122,80,80
1555785722,80,80
1555786322,80,80
1555786923,80,80
1555787522,80,80
1555788123,80,80
1555789323,80,80
1555790523,80,80
1555791724,80,80
1555792323,80,80
1555792923,80,80
1555793523,80,80
1555794123,80,80
1555795323,80,80
1555795923,80,80
1555796523,80,80
1555797723,80,80
1555798323,80,80
1555798923,80,80
1555800722,80,80
1555801323,80,80
1555801923,80,80
1555802523,80,80
1555803123,80,80
1555803723,80,80
1555804926,80,80
1555805523,80,80
1555806123,80,80
1555807322,80,80
1555808523,80,80
1555809723,79,79
1555810323,80,80
1555810922,80,80
1555811523,80,80
1555812123,80,80
1555812723,80,80
1555813323,80,80
1555813922,80,80
1555814522,80,80
1555815123,80,80
1555815722,80,80
1555816923,80,80
1555817523,80,80
1555818122,80,80
1555818723,79,79
1555819323,80,80
1555820522,80,80
1555821123,80,80
1555821724,80,80
1555822322,80,80
1555822924,80,80
1555823524,80,80
1555824123,80,80
1555825323,80,80
1555825923,80,80
1555826522,80,80
1555827122,80,80
1555827723,80,80
1555828323,80,80
1555828923,80,80
1555829523,80,80
1555830122,80,80
1555830722,80,80
1555831323,80,80
1555831923,80,80
1555832522,80,80
1555833123,80,80
1555833723,80,80
1555834923,78,78
1555835522,80,80
1555836122,80,80
1555836722,80,80
1555837323,80,80
1555838522,80,80
1555839723,80,80
1555840922,80,80
1555842122,80,80
1555842723,80,80
1555843323,80,80
1555844522,80,80
1555845123,80,80
1555845723,80,80
1555846923,80,80
1555848122,80,80
1555848723,80,80
1555849323,80,80
1555850523,80,80
1555851722,80,80
1555852923,80,80
1555853523,80,80
1555854122,80,80
1555855322,80,80
1555856522,80,80
1555857123,80,80
1555857723,80,80
1555858323,80,80
1555858923,79,79
1555859523,80,80
1555860123,80,80
1555861322,80,80
1555861923,80,80
1555862523,80,80
1555863722,80,80
1555864923,80,80
1555866123,80,80
1555867322,80,80
1555867923,80,80
1555868522,80,80
1555869723,80,80
1555870323,80,80
1555870923,80,80
1555872122,80,80
1555872723,79,79
1555873323,80,80
1555874523,80,80
1555875123,80,80
1555875722,80,80
1555876924,80,80
1555877523,80,80
1555878123,80,80
1555879324,80,80
1555880523,80,80
1555881123,80,80
1555881723,80,80
1555882923,80,80
1555883523,80,80
1555884122,80,80
1555885323,80,80
1555886524,80,80
1555887123,80,80
1555887723,80,80
1555888922,80,80
1555890123,80,80
1555890723,80,80
1555891325,80,80
1555891923,80,80
1555892523,80,80
1555893723,80,80
1555894323,80,80
1555894922,80,80
1555896122,80,80
1555896722,80,80
1555897323,80,80
1555897923,80,80
1555898524,80,80
1555899124,80,80
1555899724,80,80
1555900923,80,80
1555902123,80,80
1555902722,80,80
1555903323,80,80
1555903923,80,80
1555904524,80,80
1555905122,80,80
1555905723,80,80
1555906923,80,80
1555908124,80,80
1555908723,80,80
1555909323,80,80
1555910522,80,80
1555911122,80,80
1555911723,80,80
1555912923,80,80
1555913523,80,80
1555914122,80,80
1555915323,80,80
1555915923,80,80
1555916523,80,80
1555917723,80,80
1555918923,80,80
1555919522,80,80
1555920122,80,80
1555920723,80,80
1555921324,79,79
1555921923,80,80
1555922523,80,80
1555923122,80,80
1555923722,80,80
1555924923,80,80
1555926122,80,80
1555926722,79,79
1555927323,80,80
1555928523,80,80
1555929122,80,80
1555929723,80,80
1555930923,80,80
1555932124,80,80
1555932723,80,80
1555933323,80,80
1555933923,80,80
1555934524,80,80
1555935124,80,80
1555935723,80,80
1555936923,80,80
1555938122,80,80
1555939323,80,80
1555939923,80,80
1555940523,80,80
1555941123,80,80
1555941723,80,80
1555942923,80,80
1555944123,80,80
1555945324,80,80
1555946524,79,79
1555947123,80,80
1555947722,80,80
1555948923,80,80
1555949524,80,80
1555950123,80,80
1555951323,80,80
1555951923,80,80
1555952524,80,80
1555953723,80,80
1555954322,80,80
1555954923,80,80
1555956122,80,80
1555956723,80,80
1555957323,80,80
1555958523,80,80
1555959123,80,80
1555959723,80,80
1555960923,80,80
1555962123,80,80
1555962722,80,80
1555963322,80,80
1555964523,80,80
1555965724,80,80
1555966323,80,80
1555966923,79,79
1555968122,79,79
1555968723,80,80
1555969323,80,80
1555969923,80,80
1555970523,80,80
1555971722,80,80
1555972922,80,80
1555973523,80,80
1555974122,80,80
1555974724,80,80
1555976523,80,80
1555977724,80,80
1555978324,80,80
1555978923,80,80
1555980123,80,80
1555981323,80,80
1555982523,80,80
1555983723,80,80
1555984322,80,80
1555984924,80,80
1555986123,80,80
1555986723,80,80
1555987323,80,80
1555988522,80,80
1555989123,80,80
1555989723,80,80
1555990322,80,80
1555990922,80,80
1555992123,80,80
1555993323,80,80
1555994523,80,80
1555995122,80,80
1555995722,80,80
1555996923,80,80
1555998123,80,80
1555999323,80,80
1556000523,80,80
1556001722,80,80
1556002323,80,80
1556002923,80,80
1556004123,80,80
1556005323,80,80
1556005923,80,80
1556006523,80,80
1556007723,80,80
1556008323,80,80
1556008922,80,80
1556010123,80,80
1556011322,80,80
1556011922,80,80
1556012522,80,80
1556013723,80,80
1556014322,80,80
1556014923,80,80
