DateTime,AddedIPs,RemovedIPs
1555551123,2,9
1555551722,3,0
1555552922,9,11
1555553522,32,64
1555554123,4,0
1555555323,8,62
1555555923,11,11
1555556523,1,0
1555557723,3,24
1555558323,1,0
1555558923,6,0
1555559522,10,11
1555560123,9,21
1555560723,6,0
1555561323,4,17
1555561922,3,0
1555562522,12,0
1555563123,17,67
1555563723,5,70
1555564922,7,0
1555566122,0,39
1555566722,6,0
1555567322,6,0
1555567923,7,3
1555568523,13,0
1555569722,21,2
1555570323,7,13
1555570922,0,14
1555571522,1,0
1555572723,11,0
1555573323,12,0
1555573923,0,48
1555574522,10,0
1555575124,27,70
1555575722,13,0
1555576923,13,44
1555578123,3,76
1555579324,5,13
1555579923,1,0
1555580523,5,0
1555581722,28,13
1555582922,10,0
1555584122,6,0
1555585322,2,19
1555586523,13,0
1555587723,1,12
1555588923,3,18
1555590122,40,4
1555590722,1,0
1555591322,1,1
1555592522,35,91
1555593122,20,0
1555593723,9,0
1555594923,46,66
1555596123,2,54
1555598523,1,58
1555600922,0,3
1555602123,4,0
1555603323,1,61
1555603922,5,38
1555604523,3,5
1555605722,5,25
1555606322,5,0
1555607523,0,37
1555608123,0,38
1555609323,10,0
1555610522,17,4
1555611723,3,0
1555612322,67,83
1555612923,19,0
1555613522,10,10
1555614123,18,3
1555614722,18,3
1555615323,5,0
1555615923,2,0
1555616523,1,4
1555617123,5,0
1555617723,1,6
1555618922,7,0
1555620123,0,17
1555621323,1,0
1555621924,22,72
1555622523,47,5
1555623123,11,0
1555623722,8,31
1555626123,43,43
1555626723,17,0
1555627323,7,10
1555628523,12,16
1555629124,3,0
1555629723,7,70
1555630323,2,0
1555630922,4,0
1555632124,14,105
1555633322,17,0
1555634522,90,22
1555635722,68,5
1555636923,32,10
1555638124,28,10
1555638723,7,0
1555639922,1,42
1555640523,0,8
1555641722,8,23
1555642322,10,0
1555642923,10,1
1555643523,73,2
1555644122,25,0
1555645323,37,17
1555646524,10,16
1555647723,40,18
1555648323,4,0
1555648923,11,19
1555650123,11,20
1555651323,3,9
1555651922,1,0
1555652522,53,0
1555653122,24,6
1555653723,8,9
1555654322,7,11
1555654923,1,8
1555655523,9,20
1555656122,1,0
1555657323,0,4
1555658522,8,0
1555659722,11,25
1555660922,47,33
1555661524,37,11
1555662123,8,0
1555663322,2,16
1555664523,11,0
1555665722,30,6
1555666922,2,43
1555667522,5,0
1555668122,2,0
1555669322,7,21
1555669923,5,0
1555670522,1,0
1555671723,8,1
1555672922,9,13
1555674122,1,5
1555675323,11,35
1555676522,4,0
1555677122,2,2
1555677723,9,33
1555678923,27,0
1555680122,0,74
1555682523,1,3
1555683122,1,0
1555683723,0,1
1555686123,2,0
1555687323,21,0
1555688522,2,6
1555689122,1,0
1555690923,59,11
1555692124,16,0
1555692722,27,5
1555693323,8,1
1555694522,38,1
1555695723,13,30
1555696323,13,0
1555696923,7,0
1555697523,9,3
1555698123,18,0
1555698722,1,48
1555699322,5,24
1555700522,11,16
1555701723,11,26
1555702923,28,2
1555704123,2,10
1555705322,22,8
1555706524,6,2
1555707723,9,0
1555708923,3,62
1555710123,0,25
1555710723,7,50
1555711323,3,0
1555712522,1,0
1555713722,7,32
1555714923,4,0
1555716122,4,7
1555716723,0,4
1555717322,2,18
1555718523,8,14
1555719722,42,67
1555720922,6,0
1555722123,7,80
1555722723,13,36
1555723323,15,35
1555725724,31,9
1555726323,60,0
1555726923,40,8
1555728122,23,6
1555729323,3,77
1555729924,1,0
1555730522,1,30
1555731722,4,39
1555732322,38,2
1555732923,2,34
1555734122,4,0
1555735323,24,32
1555737122,0,6
1555737722,0,2
1555738922,0,76
1555740122,2,6
1555740723,6,6
1555741324,7,13
1555741922,1,0
1555742523,17,0
1555743722,49,0
1555744922,11,15
1555746122,1,39
1555746722,1,0
1555747322,3,0
1555747922,2,54
1555748522,2,10
1555749122,5,0
1555749723,5,0
1555750923,13,11
1555752122,3,26
1555753322,2,4
1555754523,1,10
1555755122,1,0
1555755723,2,0
1555756322,1,5
1555756922,3,4
1555758122,3,22
1555759324,1,0
1555759923,0,2
1555761723,0,15
1555762922,0,6
1555763523,0,19
1555764123,5,0
1555765323,10,36
1555766522,4,5
1555767723,5,0
1555768923,4,2
1555769522,1,0
1555771324,1,0
1555772524,18,17
1555773123,60,0
1555773723,34,1
1555774323,17,0
1555774922,2,0
1555776122,60,1
1555776722,28,57
1555777323,7,0
1555778523,7,57
1555779722,3,7
1555780923,1,47
1555782122,19,0
1555783323,15,36
1555784522,48,23
1555785122,10,6
1555785722,15,0
1555786923,15,31
1555788123,2,0
1555788723,3,26
1555789323,1,0
1555789923,0,2
1555790523,1,20
1555791723,17,11
1555793522,1,8
1555794122,1,5
1555794722,1,0
1555795323,3,0
1555795923,2,0
1555796523,10,0
1555797723,40,12
1555798923,7,0
1555800722,74,9
1555801323,3,4
1555802523,1,0
1555803722,1,10
1555804925,78,0
1555806123,39,40
1555807322,20,12
1555808523,18,7
1555809723,4,10
1555810922,15,0
1555811523,11,31
1555812123,6,35
1555813323,53,47
1555814522,11,57
1555815123,6,0
1555815722,21,0
1555816923,5,5
1555817522,32,0
1555818122,11,0
1555819323,4,41
1555820522,5,3
1555821123,33,24
1555821723,8,0
1555822322,6,0
1555822923,3,0
1555823524,9,0
1555824123,9,0
1555825322,1,0
1555825923,0,1
1555826522,48,5
1555827723,49,4
1555828923,2,61
1555830122,38,18
1555830722,5,0
1555831322,3,0
1555832522,3,2
1555833122,3,1
1555833722,1,5
1555834323,1,3
1555834922,4,0
1555835522,22,5
1555836122,3,16
1555837323,2,0
1555838522,0,7
1555839723,1,0
1555840922,2,1
1555842122,3,3
1555842723,4,1
1555843323,1,6
1555844522,2,0
1555845723,10,5
1555846923,68,0
1555848122,15,0
1555848722,8,1
1555849323,12,0
1555850523,43,11
1555851722,57,9
1555852923,7,0
1555854122,2,5
