DateTime,AddedIPs,RemovedIPs
1554214502,176,0
1554218102,162,0
1554221702,161,0
1554225302,143,0
1554228902,127,0
1554232502,153,0
1554236102,126,0
1554239702,206,0
1554243302,134,0
1554246902,126,0
1554250502,97,5011
1554254102,160,0
1554257702,196,0
1554261302,134,0
1554264902,160,0
1554268503,169,0
1554272102,199,0
1554275703,161,0
1554279302,196,0
1554282903,184,0
1554286502,224,0
1554290102,210,0
1554293702,178,0
1554297302,179,0
1554300902,151,0
1554304502,148,0
1554308102,142,0
1554311702,156,0
1554315302,170,0
1554318902,379,0
1554322502,184,0
1554326102,132,0
1554329702,123,0
1554333302,139,0
1554336902,175,4132
1554340502,231,0
1554344102,198,0
1554347702,207,0
1554351302,181,0
1554354902,198,0
1554358502,189,0
1554362102,217,0
1554365702,226,0
1554369302,211,0
1554372902,184,0
1554376502,185,0
1554380102,185,0
1554383702,207,0
1554387301,194,0
1554390902,193,0
1554394502,198,0
1554398102,169,0
1554401701,208,0
1554405302,177,0
1554408902,183,0
1554412501,185,0
1554416102,185,0
1554419701,173,0
1554423302,167,4098
1554426901,226,0
1554430502,193,0
1554434102,191,0
1554437702,210,0
1554441302,210,0
1554444902,234,0
1554448501,215,0
1554452102,277,0
1554455702,359,0
1554459301,208,0
1554462902,185,0
1554466502,186,0
1554470102,165,0
1554473702,202,0
1554477302,156,0
1554480902,172,0
1554484502,121,0
1554488102,136,0
1554491702,122,0
1554495302,105,0
1554498902,129,0
1554502502,128,0
1554506102,127,0
1554509702,133,4042
1554513302,140,0
1554516901,164,0
1554520501,143,0
1554524102,162,0
1554527702,131,0
1554531302,162,0
1554534902,175,0
1554538502,165,0
1554542102,170,0
1554545702,175,0
1554549302,196,0
1554552902,164,0
1554556502,189,0
1554560102,147,0
1554563702,142,0
1554567302,164,0
1554570902,130,0
1554574502,116,0
1554578102,142,0
1554581702,125,0
1554585302,124,0
1554588901,127,0
1554592502,117,0
1554596102,97,4321
1554599702,168,0
1554603302,154,0
1554606902,151,0
1554610502,140,0
1554614102,135,0
1554617702,141,0
1554621302,151,0
1554624902,169,0
1554628502,162,0
1554632102,148,0
1554635701,123,0
1554639302,132,0
1554642902,121,0
1554646502,174,0
1554650102,153,0
1554653702,155,0
1554657302,163,0
1554660902,179,0
1554664502,165,0
1554668102,164,0
1554671702,173,0
1554675302,159,0
1554678902,135,0
1554682502,142,4137
1554686102,143,0
1554689702,148,0
1554693302,175,0
1554696901,188,0
1554700502,226,0
1554704102,267,0
1554707702,244,0
1554711301,240,0
1554714902,260,0
1554718502,211,0
1554722102,292,0
1554725702,222,0
1554729302,218,0
1554732902,216,0
1554736502,167,0
1554740102,175,0
1554743702,157,0
1554747302,161,0
1554750902,122,0
1554754502,157,0
1554758102,132,0
1554761702,141,0
1554765302,145,0
1554768902,142,3641
1554772502,191,0
1554776102,180,0
1554779702,156,0
1554783302,147,0
1554786902,225,0
1554790502,174,0
1554794102,215,0
1554797701,231,0
1554801302,201,0
1554804902,176,0
1554808502,268,0
1554812102,205,0
1554815702,205,0
1554819302,153,0
1554822902,193,0
1554826502,386,0
1554830102,180,0
1554833702,147,0
1554837302,146,0
1554840902,142,0
1554844502,143,0
1554848102,165,0
1554851702,122,0
1554855302,178,4333
1554858902,175,0
1554862502,181,0
1554866102,177,0
1554869701,173,0
1554873302,250,0
1554876902,260,0
1554880502,174,0
1554884102,224,0
1554887702,241,0
1554891302,253,0
1554894902,247,0
1554898502,258,0
1554902102,156,0
1554905702,172,0
1554909302,196,0
1554912902,139,0
1554916502,155,0
1554920102,149,0
1554923702,109,0
1554927302,134,0
1554930902,164,0
1554934502,149,0
1554938102,123,0
1554941702,103,4494
1554945302,223,0
1554948902,150,0
1554952502,136,0
1554956102,156,0
1554959702,144,0
1554963302,178,0
1554966902,219,0
1554970502,218,0
1554974102,215,0
1554977702,185,0
1554981302,224,0
1554984902,204,0
1554988502,177,0
1554992102,180,0
1554996601,204,0
1555000202,188,0
1555003802,157,0
1555007401,153,0
1555011002,180,0
1555014602,222,0
1555018202,171,0
1555021802,125,0
1555025402,143,0
1555029002,135,4497
1555032602,195,0
1555036202,146,0
1555039802,132,0
1555043401,155,0
1555047002,162,0
1555050602,204,0
1555054202,202,0
1555057802,240,0
1555061402,225,0
1555065002,220,0
1555068602,217,0
1555072202,183,0
1555075802,172,0
1555079402,208,0
1555083002,221,0
1555086602,149,0
1555090202,157,0
1555093802,149,0
1555097402,128,0
1555101002,192,0
1555104602,173,0
1555108202,139,0
1555111801,133,0
1555115402,129,4248
1555119002,164,0
1555122602,145,0
1555126202,137,0
1555129801,146,0
1555133402,164,0
1555137002,180,0
1555140601,167,0
1555144202,176,0
1555147802,293,0
1555151402,317,0
1555155002,177,0
1555158602,151,0
1555162201,148,0
1555165802,197,0
1555169402,301,0
1555173002,218,0
1555176602,239,0
1555180202,134,0
1555183802,142,0
1555187402,130,0
1555191002,133,0
1555194602,315,0
1555198202,118,0
1555201802,88,4193
1555205402,142,0
1555209002,135,0
1555212602,164,0
1555216202,142,0
1555219802,202,0
1555223402,200,0
1555227002,164,0
1555230602,158,0
1555234202,190,0
1555237802,176,0
1555241402,224,0
1555245002,186,0
1555248602,322,0
1555252202,185,0
1555255802,147,0
1555259402,154,0
1555263001,173,0
1555266602,136,0
1555270202,153,0
1555273802,117,0
1555277402,147,0
1555281002,110,0
1555284602,119,0
1555288202,164,4210
1555291802,169,0
1555295402,163,0
1555299001,170,0
1555302602,163,2
1555306202,201,0
1555309802,232,0
1555313402,246,0
1555317002,210,0
1555320602,243,0
1555324202,238,0
1555327802,225,0
1555331402,205,0
1555335002,218,0
1555338602,212,0
1555342202,199,0
1555345802,188,0
1555349402,170,0
1555353002,169,0
1555356602,193,0
1555360201,167,0
1555363802,172,0
1555367402,156,0
1555371002,140,0
1555374602,137,4103
1555378202,212,0
1555381802,189,0
1555385402,176,0
1555389002,211,0
1555392602,219,0
1555396202,208,0
1555399802,218,0
1555403402,220,0
1555407002,226,0
1555410602,179,0
1555414202,177,0
1555417802,189,0
1555421402,214,0
1555425002,212,0
1555428602,175,0
1555432202,170,0
1555435802,153,0
1555439402,189,0
1555443002,143,0
1555446602,142,0
1555450202,155,0
1555454702,167,0
1555458302,134,0
1555461902,133,4966
1555465502,245,0
1555469102,233,0
1555472702,168,0
1555476302,160,0
1555479902,210,0
1555483502,224,0
1555487101,205,0
1555490701,232,0
1555494302,272,0
1555497902,228,0
1555501502,196,0
1555505102,199,0
1555508702,201,0
1555512302,179,0
1555515902,158,0
1555519502,136,0
1555523102,190,0
1555526702,147,0
1555530302,174,0
1555533901,169,0
1555537502,126,0
1555541102,121,0
1555544702,156,0
1555548302,161,4439
1555551902,174,0
1555555502,151,0
1555559102,131,0
1555562701,193,0
1555566301,186,0
1555569902,207,0
1555573502,293,0
1555577102,254,0
1555580702,271,0
1555584302,247,0
1555587902,208,0
1555591502,324,0
1555595102,233,0
1555598702,268,0
1555602302,188,0
1555605902,208,0
1555609502,194,0
1555613102,150,0
1555616702,160,0
1555620302,162,0
1555623902,128,0
1555627502,122,0
1555631102,103,0
1555634702,109,4406
1555638302,167,0
1555641902,151,0
1555645501,114,0
1555649102,125,0
1555652702,164,0
1555656302,164,1
1555659902,180,0
1555663502,206,0
1555667102,172,0
1555670702,192,0
1555674302,196,0
1555677901,156,0
1555682402,222,0
1555686002,150,0
1555689603,148,0
1555693202,155,0
1555696802,196,0
1555700402,205,0
1555704002,178,0
1555707602,155,0
1555711202,159,0
1555714802,174,0
1555718402,116,4624
1555722002,190,0
1555725603,176,0
1555729201,180,0
1555732802,175,0
1555736401,194,0
1555740002,217,0
1555743602,207,0
1555747202,188,0
1555750802,224,0
1555754402,174,0
1555758002,191,0
1555761602,168,0
1555765202,162,0
1555768802,229,0
1555772402,165,0
1555776002,172,0
1555779602,152,0
1555783202,159,0
1555786802,132,0
1555790402,146,0
1555794002,137,0
1555797602,154,0
1555801202,138,0
1555804802,116,4240
1555808402,182,0
1555812002,132,0
